fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
6159,2019-07-15T12:09:43Z,46.23061667,12.80685000,966.00,-714.033646951086,-3831.960023463144,1,0,85.827,
6160,2019-07-15T12:09:44Z,46.23061667,12.80683333,966.00,-713.033646951086,-3830.960023463144,2,0,85.826,
6161,2019-07-15T12:09:45Z,46.23061667,12.80683333,966.00,-712.033646951086,-3829.960023463144,3,0,85.826,
6162,2019-07-15T12:09:46Z,46.23061667,12.80685000,966.00,-711.033646951086,-3828.960023463144,4,0,85.827,
6163,2019-07-15T12:09:47Z,46.23061667,12.80685000,966.00,-710.033646951086,-3827.960023463144,5,0,85.827,
6164,2019-07-15T12:09:48Z,46.23061667,12.80685000,966.00,-709.033646951086,-3826.960023463144,6,0,85.827,
6165,2019-07-15T12:09:49Z,46.23061667,12.80685000,966.00,-708.033646951086,-3825.960023463144,7,0,85.827,
6166,2019-07-15T12:09:50Z,46.23061667,12.80685000,966.00,-707.033646951086,-3824.960023463144,8,0,85.827,
6167,2019-07-15T12:09:51Z,46.23061667,12.80685000,966.00,-706.033646951086,-3823.960023463144,9,0,85.827,
6168,2019-07-15T12:09:52Z,46.23061667,12.80685000,966.00,-705.033646951086,-3822.960023463144,10,0,85.827,
6169,2019-07-15T12:09:53Z,46.23061667,12.80685000,966.00,-704.033646951086,-3821.960023463144,11,0,85.827,
6170,2019-07-15T12:09:54Z,46.23061667,12.80685000,966.00,-703.033646951086,-3820.960023463144,12,0,85.827,
6171,2019-07-15T12:09:55Z,46.23060000,12.80685000,966.00,-702.033646951086,-3819.960023463144,13,0,85.826,
6172,2019-07-15T12:09:56Z,46.23060000,12.80685000,965.00,-701.033646951086,-3818.960023463144,14,0,85.826,
6173,2019-07-15T12:09:57Z,46.23060000,12.80685000,965.00,-700.033646951086,-3817.960023463144,15,0,85.826,
6174,2019-07-15T12:09:58Z,46.23060000,12.80685000,965.00,-699.033646951086,-3816.960023463144,16,0,85.826,
6175,2019-07-15T12:09:59Z,46.23060000,12.80685000,965.00,-698.033646951086,-3815.960023463144,17,0,85.826,
6176,2019-07-15T12:10:00Z,46.23060000,12.80685000,965.00,-697.033646951086,-3814.960023463144,18,0,85.826,
6177,2019-07-15T12:10:01Z,46.23060000,12.80685000,965.00,-696.033646951086,-3813.960023463144,19,0,85.826,
6178,2019-07-15T12:10:02Z,46.23060000,12.80685000,965.00,-695.033646951086,-3812.960023463144,20,0,85.826,
6179,2019-07-15T12:10:03Z,46.23058333,12.80685000,965.00,-694.033646951086,-3811.960023463144,21,0,85.825,
6180,2019-07-15T12:10:04Z,46.23055000,12.80683333,965.00,-693.033646951086,-3810.960023463144,22,0,85.821,
6181,2019-07-15T12:10:05Z,46.23050000,12.80680000,964.00,-692.033646951086,-3809.960023463144,23,0,85.816,
