fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
4166,1,1,-5079.416134254947,-10548.642525456537,2019-07-26T09:34:55Z,46.27411667,13.17581667,1119.00,99.919
4167,1,2,-5078.416134254947,-10547.642525456537,2019-07-26T09:34:56Z,46.27408333,13.17580000,1118.00,99.916
4168,1,3,-5077.416134254947,-10546.642525456537,2019-07-26T09:34:57Z,46.27400000,13.17578333,1116.00,99.908
4169,1,4,-5076.416134254947,-10545.642525456537,2019-07-26T09:34:58Z,46.27391667,13.17573333,1115.00,99.898
4170,1,5,-5075.416134254947,-10544.642525456537,2019-07-26T09:34:59Z,46.27381667,13.17568333,1113.00,99.888
4171,1,6,-5074.416134254947,-10543.642525456537,2019-07-26T09:35:00Z,46.27371667,13.17565000,1113.00,99.878
4172,1,7,-5073.416134254947,-10542.642525456537,2019-07-26T09:35:01Z,46.27361667,13.17563333,1113.00,99.869
4173,1,8,-5072.416134254947,-10541.642525456537,2019-07-26T09:35:02Z,46.27351667,13.17563333,1115.00,99.86
4174,1,9,-5071.416134254947,-10540.642525456537,2019-07-26T09:35:03Z,46.27341667,13.17563333,1117.00,99.852
4175,1,10,-5070.416134254947,-10539.642525456537,2019-07-26T09:35:04Z,46.27333333,13.17565000,1119.00,99.846
4176,1,11,-5069.416134254947,-10538.642525456537,2019-07-26T09:35:05Z,46.27321667,13.17565000,1120.00,99.837
4177,1,12,-5068.416134254947,-10537.642525456537,2019-07-26T09:35:06Z,46.27311667,13.17570000,1120.00,99.831
4178,1,13,-5067.416134254947,-10536.642525456537,2019-07-26T09:35:07Z,46.27303333,13.17578333,1121.00,99.829
4179,1,14,-5066.416134254947,-10535.642525456537,2019-07-26T09:35:08Z,46.27296667,13.17591667,1122.00,99.83
4180,1,15,-5065.416134254947,-10534.642525456537,2019-07-26T09:35:09Z,46.27295000,13.17610000,1123.00,99.838
4181,1,16,-5064.416134254947,-10533.642525456537,2019-07-26T09:35:10Z,46.27296667,13.17630000,1123.00,99.85
4182,1,17,-5063.416134254947,-10532.642525456537,2019-07-26T09:35:11Z,46.27300000,13.17650000,1122.00,99.863
4183,1,18,-5062.416134254947,-10531.642525456537,2019-07-26T09:35:12Z,46.27303333,13.17666667,1123.00,99.875
4184,1,19,-5061.416134254947,-10530.642525456537,2019-07-26T09:35:13Z,46.27305000,13.17681667,1126.00,99.884
4185,1,20,-5060.416134254947,-10529.642525456537,2019-07-26T09:35:14Z,46.27305000,13.17693333,1129.00,99.89
4186,1,21,-5059.416134254947,-10528.642525456537,2019-07-26T09:35:15Z,46.27298333,13.17703333,1130.00,99.89
4187,1,22,-5058.416134254947,-10527.642525456537,2019-07-26T09:35:16Z,46.27291667,13.17706667,1130.00,99.886
4188,1,23,-5057.416134254947,-10526.642525456537,2019-07-26T09:35:17Z,46.27283333,13.17700000,1131.00,99.876
4189,1,24,-5056.416134254947,-10525.642525456537,2019-07-26T09:35:18Z,46.27278333,13.17686667,1131.00,99.865
4190,1,25,-5055.416134254947,-10524.642525456537,2019-07-26T09:35:19Z,46.27276667,13.17670000,1132.00,99.855
4191,1,26,-5054.416134254947,-10523.642525456537,2019-07-26T09:35:20Z,46.27281667,13.17651667,1133.00,99.849
