fixIdx,legIdx,tickLead,togo,area
3150,2,107.676731198088,91.215,392.912392141745
3151,2,108.676731198088,91.195,396.4744507570675
3152,2,109.676731198088,91.175,400.0349093718266
3153,2,110.676731198088,91.155,403.5937679868674
3154,2,111.676731198088,91.136,386.7955971298936
3155,2,112.676731198088,91.116,410.711192286197
3156,2,113.676731198088,91.096,414.26529090123785
3157,2,114.676731198088,91.076,417.8177895165755
3158,2,115.676731198088,91.057,400.30245158254144
3159,2,116.676731198088,91.038,403.6787379829168
3160,2,117.676731198088,91.018,428.47509949989694
3161,2,118.676731198088,90.998,432.0212781149378
3162,2,119.676731198088,90.977,457.3416363552307
3163,2,120.676731198088,90.958,417.1511007200785
3164,2,121.676731198088,90.939,420.5200151201544
3165,2,122.676731198088,90.92,423.88748551991335
3166,2,123.676731198088,90.9,449.7380653286378
3167,2,124.676731198088,90.881,430.6133566045968
3168,2,125.676731198088,90.86,479.65291089812416
3169,2,126.676731198088,90.84,460.34324117376025
3170,2,127.676731198088,90.82,463.8750997891307
3171,2,128.676731198088,90.801,444.03753534142623
3172,2,129.676731198088,90.782,447.39470774183434
3173,2,130.676731198088,90.763,450.7504361415731
3174,2,131.676731198088,90.744,454.10472054198624
3175,2,132.676731198088,90.725,457.4575609420621
3176,2,133.676731198088,90.707,436.5582605051835
3177,2,134.676731198088,90.687,488.5910195788222
3178,2,135.676731198088,90.669,442.9042067369048
3179,2,136.676731198088,90.65,470.85967625779926
3180,2,137.676731198088,90.632,449.2496373309492
3181,2,138.676731198088,90.614,452.42285080913297
3182,2,139.676731198088,90.596,455.59476828731675
3183,2,140.676731198088,90.578,458.7653897655005
3184,2,141.676731198088,90.562,410.61316942768366
3185,2,142.676731198088,90.544,465.1130174465142
3186,2,143.676731198088,90.526,468.279822924698
3187,2,144.676731198088,90.508,471.4453324028818
3188,2,145.676731198088,90.49,474.6095458810655
3189,2,146.676731198088,90.471,504.3125911321745
3190,2,147.676731198088,90.454,454.21301406450954
3191,2,148.676731198088,90.435,510.9857193638924
3192,2,149.676731198088,90.418,460.181259745142
3193,2,150.676731198088,90.4,490.41117327198435
3194,2,151.676731198088,90.383,466.14976643540444
3195,2,152.676731198088,90.366,469.13483028438156
3196,2,153.676731198088,90.35,444.34950648324707
3197,2,154.676731198088,90.333,475.10674899197585
3198,2,155.676731198088,90.315,506.2084224745188
3199,2,156.676731198088,90.298,481.0635256818487
3200,2,157.676731198088,90.278,569.4526682564054
