fixIdx,legIdx,tickLead,togo,area
1752,2,1001.966353048914,80.687,1940.440102237898
1753,2,1002.966353048914,80.667,3236.6526585964457
1754,2,1003.966353048914,80.651,2591.3255062591807
1755,2,1004.966353048914,80.634,2755.4619702747364
1756,2,1005.966353048914,80.619,2433.2263849230403
1757,2,1006.966353048914,80.602,2759.850080882618
1758,2,1007.966353048914,80.585,2762.008233332864
1759,2,1008.966353048914,80.568,2764.165229778492
1760,2,1009.966353048914,80.55,2929.0276596697395
1761,2,1010.966353048914,80.533,2768.441381818363
1762,2,1011.966353048914,80.515,2933.5528300648984
1763,2,1012.966353048914,80.501,2283.453064234649
1764,2,1013.966353048914,80.484,2774.967346876502
1765,2,1014.966353048914,80.466,2940.45902141812
1766,2,1015.966353048914,80.449,2779.2318369140526
1767,2,1016.966353048914,80.432,2781.37958536199
1768,2,1017.966353048914,80.416,2619.8056312842623
1769,2,1018.966353048914,80.399,2785.7062591138683
1770,2,1019.966353048914,80.382,2787.8505735618055
1771,2,1020.966353048914,80.367,2461.7898042939914
1772,2,1021.966353048914,80.348,3120.6611261757644
1773,2,1022.966353048914,80.331,2794.2765809056173
1774,2,1023.966353048914,80.314,2796.4162713558917
1775,2,1024.966353048914,80.295,3127.7575989383863
1776,2,1025.966353048914,80.277,2965.3464463519763
1777,2,1026.966353048914,80.26,2802.723656129355
1778,2,1027.966353048914,80.242,2969.8318007471353
1779,2,1028.966353048914,80.225,2806.957444171572
1780,2,1029.966353048914,80.208,2809.090062617163
1781,2,1030.966353048914,80.192,2645.8720484656164
1782,2,1031.966353048914,80.174,2978.8616911125196
1783,2,1032.966353048914,80.157,2815.4809819633283
1784,2,1033.966353048914,80.14,2817.6089764089115
1785,2,1034.966353048914,80.122,2985.583998101964
1786,2,1035.966353048914,80.105,2821.8262744487824
1787,2,1036.966353048914,80.087,2990.046852497123
1788,2,1037.966353048914,80.07,2826.0388124910155
1789,2,1038.966353048914,80.052,2994.504666889917
1790,2,1039.966353048914,80.033,3163.177258929781
1791,2,1040.966353048914,80.013,3332.050018800667
1792,2,1041.966353048914,79.995,3001.013139935825
1793,2,1042.966353048914,79.977,3003.2174417390497
1794,2,1043.966353048914,79.961,2671.5182491838877
1795,2,1044.966353048914,79.946,2506.4615192549854
1796,2,1045.966353048914,79.93,2675.598666559288
1797,2,1046.966353048914,79.915,2510.2850505466504
1798,2,1047.966353048914,79.901,2344.745069505789
1799,2,1048.966353048914,79.887,2346.571298693013
1800,2,1049.966353048914,79.874,2180.6677688836953
1801,2,1050.966353048914,79.861,2182.38943525398
1802,2,1051.966353048914,79.851,1680.1165017823412
1803,2,1052.966353048914,79.841,1681.5030285117318
1804,2,1053.966353048914,79.831,1682.8891552387313
1805,2,1054.966353048914,79.822,1515.8568884699218
1806,2,1055.966353048914,79.81,2022.7922504389276
1807,2,1056.966353048914,79.796,2361.77440442544
1808,2,1057.966353048914,79.781,2532.4064508073943
1809,2,1058.966353048914,79.766,2534.3235709485225
1810,2,1059.966353048914,79.75,2705.3054843681125
1811,2,1060.966353048914,79.736,2368.9299169523156
1812,2,1061.966353048914,79.722,2370.7464301443265
1813,2,1062.966353048914,79.707,2542.014940503626
1814,2,1063.966353048914,79.692,2543.9275906447538
1815,2,1064.966353048914,79.677,2545.83934078347
1816,2,1065.966353048914,79.661,2717.5831481946334
1817,2,1066.966353048914,79.646,2549.628132077547
1818,2,1067.966353048914,79.631,2551.5371522186747
1819,2,1068.966353048914,79.62,1872.5735675825833
1820,2,1069.966353048914,79.611,1533.3463112610427
1821,2,1070.966353048914,79.606,852.5802491685924
1841,2,1090.966353048914,79.604,347.3855061370256
1842,2,1091.966353048914,79.589,2607.5009946138352
1843,2,1092.966353048914,79.575,2435.452552632751
1844,2,1093.966353048914,79.559,2785.3958660183043
1845,2,1094.966353048914,79.545,2438.989372896189
1846,2,1095.966353048914,79.53,2615.112714168939
1847,2,1096.966353048914,79.514,2791.454666469916
1848,2,1097.966353048914,79.499,2618.8638554606036
1849,2,1098.966353048914,79.484,2620.754515601732
1850,2,1099.966353048914,79.468,2797.469627995745
1851,2,1100.966353048914,79.455,2274.595384433618
1852,2,1101.966353048914,79.44,2626.4541550157073
1853,2,1102.966353048914,79.425,2628.3412451568356
1854,2,1103.966353048914,79.411,2454.8943951395445
1855,2,1104.966353048914,79.397,2456.684952329149
1856,2,1105.966353048914,79.386,1931.6952097995597
1857,2,1106.966353048914,79.38,1054.4917200490231
1871,2,1120.966353048914,79.378,355.9247525538495
1872,2,1121.966353048914,79.367,1959.1720358614791
1873,2,1122.966353048914,79.355,2138.873585863638
1874,2,1123.966353048914,79.342,2318.8111482883783
1875,2,1124.966353048914,79.329,2320.4939706610485
1876,2,1125.966353048914,79.315,2500.7892855825353
1877,2,1126.966353048914,79.302,2323.828286278669
1878,2,1127.966353048914,79.288,2504.3785750221714
1879,2,1128.966353048914,79.273,2685.1505085869344
1880,2,1129.966353048914,79.258,2687.0204387280623
1881,2,1130.966353048914,79.248,1792.6495275620812
1882,2,1131.966353048914,79.245,538.226229581365
1898,2,1147.966353048914,79.24,909.6772373165438
1899,2,1148.966353048914,79.238,364.1717793961229
1952,2,1201.966353048914,79.237,190.48161780033615
1953,2,1202.966353048914,79.225,2287.4934508421306
1954,2,1203.966353048914,79.215,1907.5642897689645
1955,2,1204.966353048914,79.21,954.4839724107158
1981,2,1230.966353048914,79.199,2144.957639220537
1982,2,1231.966353048914,79.186,2536.6248807577267
1983,2,1232.966353048914,79.171,2928.7327915466144
1984,2,1233.966353048914,79.156,2930.5528616877423
1985,2,1234.966353048914,79.142,2736.8978525710736
1986,2,1235.966353048914,79.127,2934.2273809605895
1987,2,1236.966353048914,79.113,2740.325779889619
1988,2,1237.966353048914,79.097,3133.738507454945
1989,2,1238.966353048914,79.083,2743.7157681530566
1990,2,1239.966353048914,79.068,2941.5287805156936
1991,2,1240.966353048914,79.054,2747.13714347438
1992,2,1241.966353048914,79.041,2552.5327176095116
1993,2,1242.966353048914,79.025,3143.5315129747323
1994,2,1243.966353048914,79.011,2752.2805319881013
1995,2,1244.966353048914,78.998,2557.3065502240092
1996,2,1245.966353048914,78.982,3149.404231275731
1997,2,1246.966353048914,78.966,3151.29346450297
1998,2,1247.966353048914,78.952,2759.0689075700684
1999,2,1248.966353048914,78.934,3549.4974291147896
2000,2,1249.966353048914,78.918,3156.955020181885
2001,2,1250.966353048914,78.901,3356.246400823049
2002,2,1251.966353048914,78.883,3555.724662890592
2003,2,1252.966353048914,78.864,3755.3819825920036
2004,2,1253.966353048914,78.846,3559.734603708331
2005,2,1254.966353048914,78.828,3561.7601655115554
2006,2,1255.966353048914,78.811,3365.817758779912
2007,2,1256.966353048914,78.792,3763.9316946528734
2008,2,1257.966353048914,78.774,3567.8290749212288
2009,2,1258.966353048914,78.755,3768.1505019604874
2010,2,1259.966353048914,78.733,4365.450782195568
2011,2,1260.966353048914,78.711,4367.694902768637
2012,2,1261.966353048914,78.688,4568.54156608079
2013,2,1262.966353048914,78.667,4173.415480164407
2014,2,1263.966353048914,78.646,4175.605116841019
2015,2,1264.966353048914,78.627,3779.9560116192606
2016,2,1265.966353048914,78.607,3981.059071105067
2017,2,1266.966353048914,78.589,3584.916771009923
2018,2,1267.966353048914,78.571,3586.9246568131475
2019,2,1268.966353048914,78.553,3588.931246616372
2020,2,1269.966353048914,78.534,3790.408885524754
2021,2,1270.966353048914,78.516,3592.8947834341116
2022,2,1271.966353048914,78.496,3994.279620500365
2023,2,1272.966353048914,78.478,3596.8071654631403
2024,2,1273.966353048914,78.46,3598.8071672663646
2025,2,1274.966353048914,78.442,3600.805873069589
2026,2,1275.966353048914,78.426,3202.5326379194576
2027,2,1276.966353048914,78.408,3604.8913382534574
2028,2,1277.966353048914,78.389,3807.2445149222945
2029,2,1278.966353048914,78.371,3608.833779071196
2030,2,1279.966353048914,78.352,3811.403168227058
2031,2,1280.966353048914,78.333,3813.4560475230082
2032,2,1281.966353048914,78.315,3614.71437490345
2033,2,1282.966353048914,78.295,4018.507211019009
2034,2,1283.966353048914,78.275,4020.6122379365697
2035,2,1284.966353048914,78.255,4022.715664856988
2036,2,1285.966353048914,78.235,4024.81749177169
2037,2,1286.966353048914,78.215,4026.9177186892507
2038,2,1287.966353048914,78.194,4230.44011559474
2039,2,1288.966353048914,78.177,3426.4682790735746
2040,2,1289.966353048914,78.158,3831.670906275238
2041,2,1290.966353048914,78.139,3833.709193568337
2042,2,1291.966353048914,78.121,3633.887921893757
2043,2,1292.966353048914,78.102,3837.830568873081
2044,2,1293.966353048914,78.084,3637.7897187114963
2045,2,1294.966353048914,78.064,4044.1281219197053
2046,2,1295.966353048914,78.043,4248.497808980829
2047,2,1296.966353048914,78.021,4453.014652290093
2048,2,1297.966353048914,78.001,4050.2261267071476
2049,2,1298.966353048914,77.98,4254.895485013537
2050,2,1299.966353048914,77.959,4257.024515690148
2051,2,1300.966353048914,77.939,4056.361050154467
2052,2,1301.966353048914,77.917,4464.2238942556605
2053,2,1302.966353048914,77.895,4466.391454828793
2054,2,1303.966353048914,77.874,4265.468231809763
2055,2,1304.966353048914,77.852,4470.778186485938
2056,2,1305.966353048914,77.83,4472.9399830590755
2057,2,1306.966353048914,77.809,4271.713660665941
2058,2,1307.966353048914,77.786,4680.799568160066
2059,2,1308.966353048914,77.765,4275.831528845506
2060,2,1309.966353048914,77.746,3870.569373051915
2061,2,1310.966353048914,77.727,3872.577564342118
2062,2,1311.966353048914,77.708,3874.584311638114
2063,2,1312.966353048914,77.688,4080.594387966969
2064,2,1313.966353048914,77.67,3674.4333241856566
2065,2,1314.966353048914,77.651,3880.5958895174117
2066,2,1315.966353048914,77.63,4291.235996623719
2067,2,1316.966353048914,77.611,3884.496298657873
2068,2,1317.966353048914,77.59,4295.543615150597
2069,2,1318.966353048914,77.572,3683.7622308921004
2070,2,1319.966353048914,77.554,3685.699808695325
2071,2,1320.966353048914,77.536,3687.636090498549
2072,2,1321.966353048914,77.519,3484.6173788231504
2073,2,1322.966353048914,77.502,3486.488639274002
2074,2,1323.966353048914,77.485,3488.3587437190245
2075,2,1324.966353048914,77.467,3695.511354077576
2076,2,1325.966353048914,77.448,3902.8294740699985
2077,2,1326.966353048914,77.428,4110.304817895254
2078,2,1327.966353048914,77.409,3906.7481979318595
2079,2,1328.966353048914,77.391,3703.0318461356346
2080,2,1329.966353048914,77.372,3910.762071242396
2081,2,1330.966353048914,77.354,3706.8317989533734
2082,2,1331.966353048914,77.336,3708.753752756598
2083,2,1332.966353048914,77.318,3710.674410559822
2084,2,1333.966353048914,77.299,3918.8236365761095
2085,2,1334.966353048914,77.28,3920.79751387214
2086,2,1335.966353048914,77.262,3716.332418392076
2087,2,1336.966353048914,77.243,3924.791741179754
2088,2,1337.966353048914,77.224,3926.7613244699164
2089,2,1338.966353048914,77.205,3928.7294637659525
2090,2,1339.966353048914,77.187,3723.841533238844
2091,2,1340.966353048914,77.167,4139.670409169418
2092,2,1341.966353048914,77.149,3727.5638352678734
2093,2,1342.966353048914,77.129,4143.803260312783
2094,2,1343.966353048914,77.108,4353.076106299478
2095,2,1344.966353048914,77.088,4147.768635496729
2096,2,1345.966353048914,77.069,3942.3125666504507
2097,2,1346.966353048914,77.051,3736.700177974317
2098,2,1347.966353048914,77.033,3738.6008557775413
2099,2,1348.966353048914,77.015,3740.5002375807658
2100,2,1349.966353048914,76.996,3950.283691990044
2101,2,1350.966353048914,76.976,4160.21982623212
2102,2,1351.966353048914,76.956,4162.217693149681
2103,2,1352.966353048914,76.936,4164.213960067242
2104,2,1353.966353048914,76.915,4374.490625041664
2105,2,1354.966353048914,76.896,3959.765864848461
2106,2,1355.966353048914,76.877,3961.70926614156
2107,2,1356.966353048914,76.861,3337.876690958693
2108,2,1357.966353048914,76.844,3548.3457110236286
2109,2,1358.966353048914,76.827,3550.1732134685994
2110,2,1359.966353048914,76.81,3551.999559916537
2111,2,1360.966353048914,76.794,3344.798011100723
2112,2,1361.966353048914,76.777,3555.695091668415
2113,2,1362.966353048914,76.759,3766.759235671068
2114,2,1363.966353048914,76.741,3768.6390334742923
2115,2,1364.966353048914,76.723,3770.517535277517
2116,2,1365.966353048914,76.705,3772.394741080741
2117,2,1366.966353048914,76.688,3564.612186484087
2118,2,1367.966353048914,76.67,3776.1945114758996
2119,2,1368.966353048914,76.653,3568.198478523958
2120,2,1369.966353048914,76.636,3570.0131289748797
2121,2,1370.966353048914,76.618,3781.9093944629917
2122,2,1371.966353048914,76.6,3783.778932266216
2123,2,1372.966353048914,76.581,3995.934819599487
2124,2,1373.966353048914,76.564,3577.07331134262
2125,2,1374.966353048914,76.546,3789.379769672898
2126,2,1375.966353048914,76.53,3370.0388073501745
2127,2,1376.966353048914,76.511,4003.913845103368
2128,2,1377.966353048914,76.494,3584.2076114193715
2129,2,1378.966353048914,76.476,3796.9286944662067
2130,2,1379.966353048914,76.459,3587.7676214592425
2131,2,1380.966353048914,76.446,2745.036582769379
2132,2,1381.966353048914,76.432,2957.8115296988776
2133,2,1382.966353048914,76.418,2959.409698888482
2134,2,1383.966353048914,76.404,2961.0070840810918
2135,2,1384.966353048914,76.39,2962.6036852676907
2136,2,1385.966353048914,76.376,2964.1995024572952
2137,2,1386.966353048914,76.359,3601.2512008618833
2138,2,1387.966353048914,76.345,2967.2721956628475
2139,2,1388.966353048914,76.328,3604.9802203227587
2140,2,1389.966353048914,76.313,3182.48781143621
2141,2,1390.966353048914,76.297,3396.4060022218505
2142,2,1391.966353048914,76.282,3185.7725127278745
2143,2,1392.966353048914,76.266,3399.9076995966075
2144,2,1393.966353048914,76.251,3189.0534940195394
2145,2,1394.966353048914,76.236,3190.7135141606673
2146,2,1395.966353048914,76.228,1702.6769124120779
2147,2,1396.966353048914,76.225,638.9151342641225
2166,2,1415.966353048914,76.217,1726.8219423309033
2167,2,1416.966353048914,76.204,2807.68057047602
2168,2,1417.966353048914,76.19,3025.2539016905976
2169,2,1418.966353048914,76.174,3459.190230653199
2170,2,1419.966353048914,76.157,3677.183206949189
2171,2,1420.966353048914,76.144,2813.3897549621906
2172,2,1421.966353048914,76.131,2814.8890433379365
2173,2,1422.966353048914,76.12,2383.128552397616
2174,2,1423.966353048914,76.11,2167.7039792474707
2175,2,1424.966353048914,76.099,2385.8197399425067
2176,2,1425.966353048914,76.085,3038.1296886157143
