fixIdx,legIdx,tickLead,togo,area
3720,2,2573.697939354446,199.66,13360.912749816353
3721,2,2574.697939354446,199.644,16449.394975606687
3722,2,2575.697939354446,199.629,15426.099650113216
3723,2,2576.697939354446,199.615,14402.236689375824
3724,2,2577.697939354446,199.6,15435.835242905987
3725,2,2578.697939354446,199.587,13381.975026127466
3726,2,2579.697939354446,199.572,15445.644746607672
3727,2,2580.697939354446,199.56,12360.469559165495
3728,2,2581.697939354446,199.544,16485.855590200732
3729,2,2582.697939354446,199.529,15460.275221295185
3730,2,2583.697939354446,199.514,15465.098652193179
3731,2,2584.697939354446,199.499,15469.921183149776
3732,2,2585.697939354446,199.485,14443.12949287652
3733,2,2586.697939354446,199.467,18575.429693424736
3734,2,2587.697939354446,199.449,18580.934001160032
3735,2,2588.697939354446,199.433,16521.360183149474
3736,2,2589.697939354446,199.419,14460.68683508457
3737,2,2590.697939354446,199.405,14465.255209521703
3738,2,2591.697939354446,199.391,14469.82279992948
3739,2,2592.697939354446,199.375,16542.076583744674
3740,2,2593.697939354446,199.36,15512.972217713317
3741,2,2594.697939354446,199.346,14483.302912525904
3742,2,2595.697939354446,199.33,16557.479546711995
3743,2,2596.697939354446,199.315,15527.409750524597
3744,2,2597.697939354446,199.298,17603.094867893957
3745,2,2598.697939354446,199.283,15536.874350502825
3746,2,2599.697939354446,199.268,15541.683201400672
3747,2,2600.697939354446,199.252,16582.882284655352
3748,2,2601.697939354446,199.238,14514.508565957318
3749,2,2602.697939354446,199.222,16593.136334633567
3750,2,2603.697939354446,199.204,18672.85719333493
3751,2,2604.697939354446,199.186,18678.34101707023
3752,2,2605.697939354446,199.168,18683.823544805527
3753,2,2606.697939354446,199.15,18689.304776540826
3754,2,2607.697939354446,199.133,17656.22989245417
3755,2,2608.697939354446,199.116,17661.49287604522
3756,2,2609.697939354446,199.097,19745.097264964563
3757,2,2610.697939354446,199.081,16632.35974556072
3758,2,2611.697939354446,199.064,17677.186093088436
3759,2,2612.697939354446,199.048,16642.342432507212
3760,2,2613.697939354446,199.028,20809.008418139856
3761,2,2614.697939354446,199.008,20814.878179758794
3762,2,2615.697939354446,198.988,20820.746341436894
3763,2,2616.697939354446,198.969,19785.33197518755
3764,2,2617.697939354446,198.953,16666.23359077156
3765,2,2618.697939354446,198.938,15629.345126830598
3766,2,2619.697939354446,198.924,14591.895661644945
3767,2,2620.697939354446,198.907,17724.11299248815
3768,2,2621.697939354446,198.889,18772.217162702655
3769,2,2622.697939354446,198.869,20863.98173924559
3770,2,2623.697939354446,198.85,19826.3958941058
3771,2,2624.697939354446,198.831,19832.05752319359
3772,2,2625.697939354446,198.813,18793.67456514058
3773,2,2626.697939354446,198.794,19843.47626386118
3774,2,2627.697939354446,198.776,18804.489655485362
3775,2,2628.697939354446,198.759,17764.990400487008
3776,2,2629.697939354446,198.741,18815.488756052066
3777,2,2630.697939354446,198.723,18820.939063817073
3778,2,2631.697939354446,198.704,19872.24852193828
3779,2,2632.697939354446,198.687,17785.577935901765
3780,2,2633.697939354446,198.67,17790.81130552256
3781,2,2634.697939354446,198.652,18842.822183884084
3782,2,2635.697939354446,198.633,19895.341860868146
3783,2,2636.697939354446,198.612,21995.716531311715
3784,2,2637.697939354446,198.592,20954.08344604781
3785,2,2638.697939354446,198.573,19911.970874596183
3786,2,2639.697939354446,198.554,19917.61114768397
3787,2,2640.697939354446,198.536,18874.70540528934
3788,2,2641.697939354446,198.516,20977.829004341962
3789,2,2642.697939354446,198.497,19934.523302917514
3790,2,2643.697939354446,198.475,23088.42928441185
3791,2,2644.697939354446,198.456,19945.48935755782
3792,2,2645.697939354446,198.436,21001.126930906197
3793,2,2646.697939354446,198.418,18906.347952442964
3794,2,2647.697939354446,198.401,17861.166426139465
3795,2,2648.697939354446,198.383,18917.29733703938
3796,2,2649.697939354446,198.365,18922.722444774678
3797,2,2650.697939354446,198.347,18928.146256509976
3798,2,2651.697939354446,198.33,17881.748919313857
3799,2,2652.697939354446,198.313,17886.959168934813
3800,2,2653.697939354446,198.296,17892.16826249596
3801,2,2654.697939354446,198.28,16844.631839949525
3802,2,2655.697939354446,198.265,15796.556090435197
3803,2,2656.697939354446,198.252,13694.53665862266
3804,2,2657.697939354446,198.237,15806.219974166148
3805,2,2658.697939354446,198.223,14756.943390491078
3806,2,2659.697939354446,198.209,14761.451228928814
3807,2,2660.697939354446,198.196,13711.281566452906
3808,2,2661.697939354446,198.183,13715.535177549405
3809,2,2662.697939354446,198.168,15830.444864401714
3810,2,2663.697939354446,198.151,17946.45976165493
3811,2,2664.697939354446,198.135,16895.719801540905
3812,2,2665.697939354446,198.118,17956.94369456697
3813,2,2666.697939354446,198.099,20075.230091312576
3814,2,2667.697939354446,198.084,15853.448590594518
3815,2,2668.697939354446,198.068,16915.360417128908
3816,2,2669.697939354446,198.052,16920.33196381401
3817,2,2670.697939354446,198.034,19040.869152129333
3818,2,2671.697939354446,198.015,20104.342646490164
3819,2,2672.697939354446,197.996,20109.937889547873
3820,2,2673.697939354446,197.979,17998.198206105575
3821,2,2674.697939354446,197.961,19062.358237944714
3822,2,2675.697939354446,197.943,19067.751305680013
3823,2,2676.697939354446,197.924,20132.711280015887
3824,2,2677.697939354446,197.905,20138.299455103675
3825,2,2678.697939354446,197.885,21204.03714835277
3826,2,2679.697939354446,197.866,20149.369644727412
3827,2,2680.697939354446,197.845,22276.41490789355
3828,2,2681.697939354446,197.823,23343.36532589772
3829,2,2682.697939354446,197.801,23349.473170322588
3830,2,2683.697939354446,197.78,22294.018205488952
3831,2,2684.697939354446,197.761,20176.254044979538
3832,2,2685.697939354446,197.743,19119.677000516658
3833,2,2686.697939354446,197.725,19125.055092251958
3834,2,2687.697939354446,197.706,20193.182593286292
3835,2,2688.697939354446,197.688,19135.710594596738
3836,2,2689.697939354446,197.671,18077.73688928463
3837,2,2690.697939354446,197.656,15955.583164053116
3838,2,2691.697939354446,197.642,14896.31936844372
3839,2,2692.697939354446,197.627,15965.100326845868
3840,2,2693.697939354446,197.611,17034.42857849398
3841,2,2694.697939354446,197.593,19169.197279644148
3842,2,2695.697939354446,197.576,18109.35640294051
3843,2,2696.697939354446,197.559,18114.515584531564
3844,2,2697.697939354446,197.542,18119.673610122616
3845,2,2698.697939354446,197.523,20257.06092681604
3846,2,2699.697939354446,197.505,19196.212996572274
3847,2,2700.697939354446,197.486,20268.27621551331
3848,2,2701.697939354446,197.467,20273.83041857077
3849,2,2702.697939354446,197.451,17077.50503704454
3850,2,2703.697939354446,197.433,19217.647027513467
3851,2,2704.697939354446,197.417,17087.19970165618
3852,2,2705.697939354446,197.4,18160.344236471403
3853,2,2706.697939354446,197.383,18165.491654062454
3854,2,2707.697939354446,197.365,19239.45023095793
3855,2,2708.697939354446,197.347,19244.80045869323
3856,2,2709.697939354446,197.328,20319.550650085443
3857,2,2710.697939354446,197.31,19255.399441038007
3858,2,2711.697939354446,197.291,20330.73565278271
3859,2,2712.697939354446,197.273,19265.99309538279
3860,2,2713.697939354446,197.254,20341.91503147998
3861,2,2714.697939354446,197.237,18205.706381491487
3862,2,2715.697939354446,197.219,19282.020234588683
3863,2,2716.697939354446,197.2,20358.828406308432
3864,2,2717.697939354446,197.182,19292.600676933464
3865,2,2718.697939354446,197.166,17153.809519807248
3866,2,2719.697939354446,197.149,18231.100780256933
3867,2,2720.697939354446,197.131,19308.90210351681
3868,2,2721.697939354446,197.112,20387.196853399237
3869,2,2722.697939354446,197.093,20392.721682487027
3870,2,2723.697939354446,197.074,20398.2450675443
3871,2,2724.697939354446,197.055,20403.767008662602
3872,2,2725.697939354446,197.037,19335.163541690035
3873,2,2726.697939354446,197.019,19340.490297425335
3874,2,2727.697939354446,196.998,22569.946538399166
3875,2,2728.697939354446,196.977,22575.814183786104
3876,2,2729.697939354446,196.956,22581.68006523415
3877,2,2730.697939354446,196.937,20436.453265071974
3878,2,2731.697939354446,196.917,21517.803204141128
3879,2,2732.697939354446,196.899,19371.243090327323
3880,2,2733.697939354446,196.88,20452.983976365907
3881,2,2734.697939354446,196.862,19381.777848672104
3882,2,2735.697939354446,196.842,21541.104430292467
3883,2,2736.697939354446,196.822,21546.789151971596
3884,2,2737.697939354446,196.804,19397.323603374734
3885,2,2738.697939354446,196.79,15091.091074402619
3886,2,2739.697939354446,196.775,16173.738292515778
3887,2,2740.697939354446,196.761,15099.886259675868
3888,2,2741.697939354446,196.746,16183.159965308532
3889,2,2742.697939354446,196.73,17266.973030187983
3890,2,2743.697939354446,196.714,17271.86387281236
3891,2,2744.697939354446,196.695,20515.988560852264
3892,2,2745.697939354446,196.676,20521.48093794005
3893,2,2746.697939354446,196.657,20526.971870997135
3894,2,2747.697939354446,196.64,18371.243059749148
3895,2,2748.697939354446,196.624,17295.423142747004
3896,2,2749.697939354446,196.605,20543.95844889968
3897,2,2750.697939354446,196.589,17304.926809054923
3898,2,2751.697939354446,196.571,19473.43611305943
3899,2,2752.697939354446,196.553,19478.72924479473
3900,2,2753.697939354446,196.535,19484.021080530027
3901,2,2754.697939354446,196.517,19489.311620265325
3902,2,2755.697939354446,196.499,19494.600864000626
3903,2,2756.697939354446,196.481,19499.888811735924
3904,2,2757.697939354446,196.464,18421.601485249324
3905,2,2758.697939354446,196.45,15175.034590020023
3906,2,2759.697939354446,196.435,16263.658873534281
3907,2,2760.697939354446,196.418,18437.32394867217
3908,2,2761.697939354446,196.401,18442.406188263223
3909,2,2762.697939354446,196.38,22787.840445685437
3910,2,2763.697939354446,196.362,19537.56460976373
3911,2,2764.697939354446,196.345,18457.175972386685
3912,2,2765.697939354446,196.326,20634.178135346672
3913,2,2766.697939354446,196.31,17380.883393852324
3914,2,2767.697939354446,196.291,20645.418595087333
3915,2,2768.697939354446,196.272,20650.87901417512
3916,2,2769.697939354446,196.255,18482.080791692257
3917,2,2770.697939354446,196.236,20662.006093394088
3918,2,2771.697939354446,196.218,19579.75097564612
3919,2,2772.697939354446,196.202,17408.9940057739
3920,2,2773.697939354446,196.184,19590.48431336835
3921,2,2774.697939354446,196.166,19595.749257103646
3922,2,2775.697939354446,196.145,22867.673519993117
3923,2,2776.697939354446,196.125,21784.306013422516
3924,2,2777.697939354446,196.108,18521.581529391355
3925,2,2778.697939354446,196.09,19616.395939541573
3926,2,2779.697939354446,196.074,17441.559403014286
3927,2,2780.697939354446,196.056,19627.111493263805
3928,2,2781.697939354446,196.038,19632.367292999104
3929,2,2782.697939354446,196.02,19637.621796734402
3930,2,2783.697939354446,196.0,21825.305323725766
3931,2,2784.697939354446,195.982,19647.926417953364
3932,2,2785.697939354446,195.964,19653.176961688663
3933,2,2786.697939354446,195.947,18566.338793871317
3934,2,2787.697939354446,195.93,18571.38999146237
3935,2,2788.697939354446,195.914,17483.752885595826
3936,2,2789.697939354446,195.899,16395.59878066934
3937,2,2790.697939354446,195.882,18586.821299425337
3938,2,2791.697939354446,195.863,20779.04047580171
3939,2,2792.697939354446,195.846,18596.723591147565
3940,2,2793.697939354446,195.833,14225.026597455053
3941,2,2794.697939354446,195.82,14229.173816551553
3942,2,2795.697939354446,195.809,12043.640271201137
3943,2,2796.697939354446,195.795,15332.773397812376
3944,2,2797.697939354446,195.783,13146.20356435892
3945,2,2798.697939354446,195.768,16437.49465276764
3946,2,2799.697939354446,195.754,15346.006712578006
3947,2,2800.697939354446,195.74,15350.39014695462
3948,2,2801.697939354446,195.727,14258.039733934207
3949,2,2802.697939354446,195.715,13165.124241321897
3950,2,2803.697939354446,195.703,13169.014080315363
3951,2,2804.697939354446,195.691,13172.903343308828
3952,2,2805.697939354446,195.681,10980.716139200296
3953,2,2806.697939354446,195.674,7688.90690439791
3954,2,2807.697939354446,195.669,5493.864673398939
3955,2,2808.697939354446,195.663,6594.800292020975
3956,2,2809.697939354446,195.656,7696.4173155171975
3957,2,2810.697939354446,195.647,9898.51082188492
3958,2,2811.697939354446,195.637,11001.724165013644
3959,2,2812.697939354446,195.629,8804.104575526413
3960,2,2813.697939354446,195.62,9907.708545655121
3961,2,2814.697939354446,195.612,8809.599233686917
3962,2,2815.697939354446,195.604,8812.368680319374
3963,2,2816.697939354446,195.593,12120.72162162461
3964,2,2817.697939354446,195.581,13226.522084748935
3965,2,2818.697939354446,195.57,12127.901694435977
3966,2,2819.697939354446,195.556,15440.000467170948
3967,2,2820.697939354446,195.541,16547.497529831893
