fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
6483,1,1,-2649.033646951086,-5766.960023463144,,,,983.0,85.779
6493,1,11,-2639.033646951086,-5756.960023463144,,,,984.0,85.777
6494,1,12,-2638.033646951086,-5755.960023463144,,,,984.0,85.775
6495,1,13,-2637.033646951086,-5754.960023463144,,,,982.0,85.768
6496,1,14,-2636.033646951086,-5753.960023463144,,,,980.0,85.758
6497,1,15,-2635.033646951086,-5752.960023463144,,,,979.0,85.748
6498,1,16,-2634.033646951086,-5751.960023463144,,,,979.0,85.74
6499,1,17,-2633.033646951086,-5750.960023463144,,,,979.0,85.731
6500,1,18,-2632.033646951086,-5749.960023463144,,,,980.0,85.723
6501,1,19,-2631.033646951086,-5748.960023463144,,,,981.0,85.716
6502,1,20,-2630.033646951086,-5747.960023463144,,,,981.0,85.708
6503,1,21,-2629.033646951086,-5746.960023463144,,,,981.0,85.701
6504,1,22,-2628.033646951086,-5745.960023463144,,,,982.0,85.695
6505,1,23,-2627.033646951086,-5744.960023463144,,,,982.0,85.689
6506,1,24,-2626.033646951086,-5743.960023463144,,,,984.0,85.684
6507,1,25,-2625.033646951086,-5742.960023463144,,,,985.0,85.681
6508,1,26,-2624.033646951086,-5741.960023463144,,,,986.0,85.679
6509,1,27,-2623.033646951086,-5740.960023463144,,,,987.0,85.674
6510,1,28,-2622.033646951086,-5739.960023463144,,,,988.0,85.668
6511,1,29,-2621.033646951086,-5738.960023463144,,,,988.0,85.661
6512,1,30,-2620.033646951086,-5737.960023463144,,,,987.0,85.652
6513,1,31,-2619.033646951086,-5736.960023463144,,,,987.0,85.646
6514,1,32,-2618.033646951086,-5735.960023463144,,,,986.0,85.64
6609,1,127,-2523.033646951086,-5640.960023463144,,,,1037.0,85.638
6610,1,128,-2522.033646951086,-5639.960023463144,,,,1039.0,85.625
6611,1,129,-2521.033646951086,-5638.960023463144,,,,1040.0,85.615
6612,1,130,-2520.033646951086,-5637.960023463144,,,,1041.0,85.606
6613,1,131,-2519.033646951086,-5636.960023463144,,,,1042.0,85.597
6614,1,132,-2518.033646951086,-5635.960023463144,,,,1043.0,85.588
6615,1,133,-2517.033646951086,-5634.960023463144,,,,1042.0,85.579
6616,1,134,-2516.033646951086,-5633.960023463144,,,,1042.0,85.572
6617,1,135,-2515.033646951086,-5632.960023463144,,,,1041.0,85.564
6618,1,136,-2514.033646951086,-5631.960023463144,,,,1041.0,85.557
6619,1,137,-2513.033646951086,-5630.960023463144,,,,1040.0,85.551
6620,1,138,-2512.033646951086,-5629.960023463144,,,,1039.0,85.545
6621,1,139,-2511.033646951086,-5628.960023463144,,,,1039.0,85.54
6622,1,140,-2510.033646951086,-5627.960023463144,,,,1040.0,85.537
6623,1,141,-2509.033646951086,-5626.960023463144,,,,1043.0,85.532
6624,1,142,-2508.033646951086,-5625.960023463144,,,,1044.0,85.525
6625,1,143,-2507.033646951086,-5624.960023463144,,,,1046.0,85.517
6626,1,144,-2506.033646951086,-5623.960023463144,,,,1047.0,85.506
6627,1,145,-2505.033646951086,-5622.960023463144,,,,1048.0,85.495
6628,1,146,-2504.033646951086,-5621.960023463144,,,,1050.0,85.482
6629,1,147,-2503.033646951086,-5620.960023463144,,,,1051.0,85.468
6630,1,148,-2502.033646951086,-5619.960023463144,,,,1051.0,85.456
6631,1,149,-2501.033646951086,-5618.960023463144,,,,1052.0,85.448
6632,1,150,-2500.033646951086,-5617.960023463144,,,,1052.0,85.445
6667,1,185,-2465.033646951086,-5582.960023463144,,,,1080.0,85.44
6668,1,186,-2464.033646951086,-5581.960023463144,,,,1081.0,85.432
6669,1,187,-2463.033646951086,-5580.960023463144,,,,1081.0,85.428
6670,1,188,-2462.033646951086,-5579.960023463144,,,,1081.0,85.426
6773,1,291,-2359.033646951086,-5476.960023463144,,,,1107.0,85.423
6774,1,292,-2358.033646951086,-5475.960023463144,,,,1108.0,85.412
6775,1,293,-2357.033646951086,-5474.960023463144,,,,1107.0,85.398
6776,1,294,-2356.033646951086,-5473.960023463144,,,,1107.0,85.386
6777,1,295,-2355.033646951086,-5472.960023463144,,,,1107.0,85.373
6778,1,296,-2354.033646951086,-5471.960023463144,,,,1108.0,85.359
6779,1,297,-2353.033646951086,-5470.960023463144,,,,1108.0,85.347
6780,1,298,-2352.033646951086,-5469.960023463144,,,,1108.0,85.335
6781,1,299,-2351.033646951086,-5468.960023463144,,,,1108.0,85.323
6782,1,300,-2350.033646951086,-5467.960023463144,,,,1108.0,85.312
6783,1,301,-2349.033646951086,-5466.960023463144,,,,1108.0,85.301
6784,1,302,-2348.033646951086,-5465.960023463144,,,,1108.0,85.29
6785,1,303,-2347.033646951086,-5464.960023463144,,,,1108.0,85.279
6786,1,304,-2346.033646951086,-5463.960023463144,,,,1109.0,85.267
6787,1,305,-2345.033646951086,-5462.960023463144,,,,1108.0,85.255
6788,1,306,-2344.033646951086,-5461.960023463144,,,,1108.0,85.244
6789,1,307,-2343.033646951086,-5460.960023463144,,,,1108.0,85.232
