fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
2852,1,1,541.932207209016,-4345.445787922303,,,,1750.0,199.623
2858,1,7,547.932207209016,-4339.445787922303,,,,1750.0,199.622
2881,1,30,570.932207209016,-4316.445787922303,,,,1737.0,199.615
2882,1,31,571.932207209016,-4315.445787922303,,,,1739.0,199.609
2883,1,32,572.932207209016,-4314.445787922303,,,,1740.0,199.607
2897,1,46,586.932207209016,-4300.445787922303,,,,1730.0,199.602
2898,1,47,587.932207209016,-4299.445787922303,,,,1730.0,199.596
2899,1,48,588.932207209016,-4298.445787922303,,,,1730.0,199.593
2927,1,76,616.932207209016,-4270.445787922303,,,,1714.0,199.592
2928,1,77,617.932207209016,-4269.445787922303,,,,1715.0,199.581
2929,1,78,618.932207209016,-4268.445787922303,,,,1716.0,199.568
2930,1,79,619.932207209016,-4267.445787922303,,,,1717.0,199.555
2931,1,80,620.932207209016,-4266.445787922303,,,,1717.0,199.542
2932,1,81,621.932207209016,-4265.445787922303,,,,1718.0,199.528
2933,1,82,622.932207209016,-4264.445787922303,,,,1719.0,199.514
2934,1,83,623.932207209016,-4263.445787922303,,,,1719.0,199.5
2935,1,84,624.932207209016,-4262.445787922303,,,,1720.0,199.486
2936,1,85,625.932207209016,-4261.445787922303,,,,1720.0,199.472
2937,1,86,626.932207209016,-4260.445787922303,,,,1720.0,199.459
2938,1,87,627.932207209016,-4259.445787922303,,,,1719.0,199.443
2939,1,88,628.932207209016,-4258.445787922303,,,,1718.0,199.426
2940,1,89,629.932207209016,-4257.445787922303,,,,1716.0,199.411
2941,1,90,630.932207209016,-4256.445787922303,,,,1715.0,199.395
2942,1,91,631.932207209016,-4255.445787922303,,,,1715.0,199.38
2943,1,92,632.932207209016,-4254.445787922303,,,,1715.0,199.364
2944,1,93,633.932207209016,-4253.445787922303,,,,1715.0,199.349
2945,1,94,634.932207209016,-4252.445787922303,,,,1715.0,199.335
2946,1,95,635.932207209016,-4251.445787922303,,,,1714.0,199.321
2947,1,96,636.932207209016,-4250.445787922303,,,,1713.0,199.31
2948,1,97,637.932207209016,-4249.445787922303,,,,1713.0,199.3
2949,1,98,638.932207209016,-4248.445787922303,,,,1713.0,199.294
2950,1,99,639.932207209016,-4247.445787922303,,,,1713.0,199.29
2951,1,100,640.932207209016,-4246.445787922303,,,,1714.0,199.285
2952,1,101,641.932207209016,-4245.445787922303,,,,1714.0,199.283
2971,1,120,660.932207209016,-4226.445787922303,,,,1741.0,199.278
2972,1,121,661.932207209016,-4225.445787922303,,,,1742.0,199.266
2973,1,122,662.932207209016,-4224.445787922303,,,,1743.0,199.257
2974,1,123,663.932207209016,-4223.445787922303,,,,1745.0,199.25
2975,1,124,664.932207209016,-4222.445787922303,,,,1747.0,199.244
2976,1,125,665.932207209016,-4221.445787922303,,,,1751.0,199.24
2977,1,126,666.932207209016,-4220.445787922303,,,,1754.0,199.235
2978,1,127,667.932207209016,-4219.445787922303,,,,1754.0,199.232
3047,1,196,736.932207209016,-4150.445787922303,,,,1913.0,199.225
3048,1,197,737.932207209016,-4149.445787922303,,,,1914.0,199.217
3049,1,198,738.932207209016,-4148.445787922303,,,,1915.0,199.214
3067,1,216,756.932207209016,-4130.445787922303,,,,1963.0,199.211
3068,1,217,757.932207209016,-4129.445787922303,,,,1965.0,199.207
3201,1,350,890.932207209016,-3996.445787922303,,,,2221.0,199.192
3202,1,351,891.932207209016,-3995.445787922303,,,,2221.0,199.176
3203,1,352,892.932207209016,-3994.445787922303,,,,2222.0,199.164
3204,1,353,893.932207209016,-3993.445787922303,,,,2223.0,199.155
3205,1,354,894.932207209016,-3992.445787922303,,,,2223.0,199.15
3206,1,355,895.932207209016,-3991.445787922303,,,,2224.0,199.147
3238,1,387,927.932207209016,-3959.445787922303,,,,2242.0,199.144
3588,1,737,1277.932207209016,-3609.445787922303,,,,2387.0,199.128
3589,1,738,1278.932207209016,-3608.445787922303,,,,2385.0,199.113
3590,1,739,1279.932207209016,-3607.445787922303,,,,2382.0,199.099
3591,1,740,1280.932207209016,-3606.445787922303,,,,2380.0,199.084
3592,1,741,1281.932207209016,-3605.445787922303,,,,2378.0,199.07
3593,1,742,1282.932207209016,-3604.445787922303,,,,2374.0,199.059
3594,1,743,1283.932207209016,-3603.445787922303,,,,2372.0,199.047
3595,1,744,1284.932207209016,-3602.445787922303,,,,2370.0,199.037
3596,1,745,1285.932207209016,-3601.445787922303,,,,2367.0,199.026
3597,1,746,1286.932207209016,-3600.445787922303,,,,2366.0,199.017
3598,1,747,1287.932207209016,-3599.445787922303,,,,2364.0,199.008
3599,1,748,1288.932207209016,-3598.445787922303,,,,2363.0,199.0
3600,1,749,1289.932207209016,-3597.445787922303,,,,2363.0,198.992
3601,1,750,1290.932207209016,-3596.445787922303,,,,2362.0,198.983
3602,1,751,1291.932207209016,-3595.445787922303,,,,2361.0,198.974
3603,1,752,1292.932207209016,-3594.445787922303,,,,2360.0,198.964
3604,1,753,1293.932207209016,-3593.445787922303,,,,2359.0,198.952
3605,1,754,1294.932207209016,-3592.445787922303,,,,2359.0,198.938
3606,1,755,1295.932207209016,-3591.445787922303,,,,2358.0,198.924
3607,1,756,1296.932207209016,-3590.445787922303,,,,2358.0,198.91
3608,1,757,1297.932207209016,-3589.445787922303,,,,2357.0,198.894
3609,1,758,1298.932207209016,-3588.445787922303,,,,2356.0,198.879
3610,1,759,1299.932207209016,-3587.445787922303,,,,2355.0,198.861
3611,1,760,1300.932207209016,-3586.445787922303,,,,2354.0,198.844
3612,1,761,1301.932207209016,-3585.445787922303,,,,2353.0,198.828
3613,1,762,1302.932207209016,-3584.445787922303,,,,2354.0,198.816
3614,1,763,1303.932207209016,-3583.445787922303,,,,2355.0,198.808
3615,1,764,1304.932207209016,-3582.445787922303,,,,2356.0,198.801
3616,1,765,1305.932207209016,-3581.445787922303,,,,2356.0,198.799
3617,1,766,1306.932207209016,-3580.445787922303,,,,2356.0,198.795
3618,1,767,1307.932207209016,-3579.445787922303,,,,2356.0,198.793
3619,1,768,1308.932207209016,-3578.445787922303,,,,2355.0,198.79
3620,1,769,1309.932207209016,-3577.445787922303,,,,2354.0,198.788
3621,1,770,1310.932207209016,-3576.445787922303,,,,2353.0,198.783
3622,1,771,1311.932207209016,-3575.445787922303,,,,2353.0,198.778
3623,1,772,1312.932207209016,-3574.445787922303,,,,2353.0,198.771
3624,1,773,1313.932207209016,-3573.445787922303,,,,2352.0,198.762
3625,1,774,1314.932207209016,-3572.445787922303,,,,2351.0,198.753
3626,1,775,1315.932207209016,-3571.445787922303,,,,2350.0,198.744
3627,1,776,1316.932207209016,-3570.445787922303,,,,2348.0,198.733
3628,1,777,1317.932207209016,-3569.445787922303,,,,2347.0,198.722
3629,1,778,1318.932207209016,-3568.445787922303,,,,2346.0,198.712
3630,1,779,1319.932207209016,-3567.445787922303,,,,2346.0,198.7
3631,1,780,1320.932207209016,-3566.445787922303,,,,2345.0,198.687
3632,1,781,1321.932207209016,-3565.445787922303,,,,2344.0,198.676
3633,1,782,1322.932207209016,-3564.445787922303,,,,2342.0,198.662
3634,1,783,1323.932207209016,-3563.445787922303,,,,2340.0,198.648
3635,1,784,1324.932207209016,-3562.445787922303,,,,2337.0,198.633
3636,1,785,1325.932207209016,-3561.445787922303,,,,2335.0,198.62
3637,1,786,1326.932207209016,-3560.445787922303,,,,2333.0,198.606
3638,1,787,1327.932207209016,-3559.445787922303,,,,2332.0,198.594
3639,1,788,1328.932207209016,-3558.445787922303,,,,2330.0,198.581
3640,1,789,1329.932207209016,-3557.445787922303,,,,2329.0,198.568
3641,1,790,1330.932207209016,-3556.445787922303,,,,2327.0,198.556
3642,1,791,1331.932207209016,-3555.445787922303,,,,2325.0,198.542
3643,1,792,1332.932207209016,-3554.445787922303,,,,2323.0,198.53
3644,1,793,1333.932207209016,-3553.445787922303,,,,2321.0,198.516
3645,1,794,1334.932207209016,-3552.445787922303,,,,2320.0,198.503
3646,1,795,1335.932207209016,-3551.445787922303,,,,2319.0,198.492
3647,1,796,1336.932207209016,-3550.445787922303,,,,2318.0,198.48
3648,1,797,1337.932207209016,-3549.445787922303,,,,2317.0,198.47
3649,1,798,1338.932207209016,-3548.445787922303,,,,2316.0,198.458
3650,1,799,1339.932207209016,-3547.445787922303,,,,2314.0,198.446
3651,1,800,1340.932207209016,-3546.445787922303,,,,2312.0,198.433
3652,1,801,1341.932207209016,-3545.445787922303,,,,2310.0,198.419
3653,1,802,1342.932207209016,-3544.445787922303,,,,2309.0,198.405
3654,1,803,1343.932207209016,-3543.445787922303,,,,2308.0,198.392
3655,1,804,1344.932207209016,-3542.445787922303,,,,2308.0,198.377
3656,1,805,1345.932207209016,-3541.445787922303,,,,2309.0,198.363
3657,1,806,1346.932207209016,-3540.445787922303,,,,2310.0,198.351
3658,1,807,1347.932207209016,-3539.445787922303,,,,2310.0,198.338
3659,1,808,1348.932207209016,-3538.445787922303,,,,2310.0,198.326
3660,1,809,1349.932207209016,-3537.445787922303,,,,2310.0,198.314
3661,1,810,1350.932207209016,-3536.445787922303,,,,2309.0,198.302
3662,1,811,1351.932207209016,-3535.445787922303,,,,2307.0,198.289
3663,1,812,1352.932207209016,-3534.445787922303,,,,2305.0,198.275
3664,1,813,1353.932207209016,-3533.445787922303,,,,2303.0,198.261
3665,1,814,1354.932207209016,-3532.445787922303,,,,2301.0,198.248
3666,1,815,1355.932207209016,-3531.445787922303,,,,2299.0,198.235
3667,1,816,1356.932207209016,-3530.445787922303,,,,2297.0,198.223
3668,1,817,1357.932207209016,-3529.445787922303,,,,2295.0,198.209
3669,1,818,1358.932207209016,-3528.445787922303,,,,2293.0,198.196
3670,1,819,1359.932207209016,-3527.445787922303,,,,2291.0,198.183
3671,1,820,1360.932207209016,-3526.445787922303,,,,2288.0,198.169
3672,1,821,1361.932207209016,-3525.445787922303,,,,2286.0,198.155
3673,1,822,1362.932207209016,-3524.445787922303,,,,2284.0,198.141
3674,1,823,1363.932207209016,-3523.445787922303,,,,2282.0,198.126
3675,1,824,1364.932207209016,-3522.445787922303,,,,2281.0,198.111
3676,1,825,1365.932207209016,-3521.445787922303,,,,2280.0,198.097
3677,1,826,1366.932207209016,-3520.445787922303,,,,2278.0,198.083
3678,1,827,1367.932207209016,-3519.445787922303,,,,2277.0,198.069
3679,1,828,1368.932207209016,-3518.445787922303,,,,2275.0,198.054
3680,1,829,1369.932207209016,-3517.445787922303,,,,2273.0,198.039
3681,1,830,1370.932207209016,-3516.445787922303,,,,2270.0,198.024
3682,1,831,1371.932207209016,-3515.445787922303,,,,2268.0,198.009
3683,1,832,1372.932207209016,-3514.445787922303,,,,2267.0,197.995
3684,1,833,1373.932207209016,-3513.445787922303,,,,2267.0,197.98
3685,1,834,1374.932207209016,-3512.445787922303,,,,2267.0,197.967
3686,1,835,1375.932207209016,-3511.445787922303,,,,2268.0,197.954
3687,1,836,1376.932207209016,-3510.445787922303,,,,2268.0,197.939
3688,1,837,1377.932207209016,-3509.445787922303,,,,2268.0,197.925
3689,1,838,1378.932207209016,-3508.445787922303,,,,2268.0,197.91
3690,1,839,1379.932207209016,-3507.445787922303,,,,2269.0,197.895
3691,1,840,1380.932207209016,-3506.445787922303,,,,2269.0,197.879
3692,1,841,1381.932207209016,-3505.445787922303,,,,2270.0,197.863
3693,1,842,1382.932207209016,-3504.445787922303,,,,2271.0,197.848
3694,1,843,1383.932207209016,-3503.445787922303,,,,2272.0,197.832
3695,1,844,1384.932207209016,-3502.445787922303,,,,2273.0,197.815
3696,1,845,1385.932207209016,-3501.445787922303,,,,2274.0,197.8
3697,1,846,1386.932207209016,-3500.445787922303,,,,2276.0,197.785
3698,1,847,1387.932207209016,-3499.445787922303,,,,2278.0,197.772
3699,1,848,1388.932207209016,-3498.445787922303,,,,2279.0,197.757
3700,1,849,1389.932207209016,-3497.445787922303,,,,2279.0,197.743
3701,1,850,1390.932207209016,-3496.445787922303,,,,2280.0,197.73
3702,1,851,1391.932207209016,-3495.445787922303,,,,2280.0,197.716
3703,1,852,1392.932207209016,-3494.445787922303,,,,2280.0,197.702
3704,1,853,1393.932207209016,-3493.445787922303,,,,2280.0,197.686
3705,1,854,1394.932207209016,-3492.445787922303,,,,2279.0,197.673
3706,1,855,1395.932207209016,-3491.445787922303,,,,2279.0,197.658
3707,1,856,1396.932207209016,-3490.445787922303,,,,2279.0,197.643
3708,1,857,1397.932207209016,-3489.445787922303,,,,2279.0,197.629
3709,1,858,1398.932207209016,-3488.445787922303,,,,2278.0,197.615
3710,1,859,1399.932207209016,-3487.445787922303,,,,2278.0,197.601
3711,1,860,1400.932207209016,-3486.445787922303,,,,2277.0,197.587
3712,1,861,1401.932207209016,-3485.445787922303,,,,2277.0,197.574
3713,1,862,1402.932207209016,-3484.445787922303,,,,2276.0,197.561
3714,1,863,1403.932207209016,-3483.445787922303,,,,2274.0,197.547
3715,1,864,1404.932207209016,-3482.445787922303,,,,2273.0,197.534
3716,1,865,1405.932207209016,-3481.445787922303,,,,2273.0,197.519
3717,1,866,1406.932207209016,-3480.445787922303,,,,2272.0,197.506
3718,1,867,1407.932207209016,-3479.445787922303,,,,2272.0,197.493
3719,1,868,1408.932207209016,-3478.445787922303,,,,2272.0,197.48
3720,1,869,1409.932207209016,-3477.445787922303,,,,2273.0,197.467
3721,1,870,1410.932207209016,-3476.445787922303,,,,2273.0,197.454
3722,1,871,1411.932207209016,-3475.445787922303,,,,2274.0,197.441
3723,1,872,1412.932207209016,-3474.445787922303,,,,2274.0,197.427
3724,1,873,1413.932207209016,-3473.445787922303,,,,2274.0,197.411
3725,1,874,1414.932207209016,-3472.445787922303,,,,2275.0,197.397
3726,1,875,1415.932207209016,-3471.445787922303,,,,2276.0,197.384
3727,1,876,1416.932207209016,-3470.445787922303,,,,2277.0,197.37
3728,1,877,1417.932207209016,-3469.445787922303,,,,2279.0,197.357
3729,1,878,1418.932207209016,-3468.445787922303,,,,2280.0,197.344
3730,1,879,1419.932207209016,-3467.445787922303,,,,2283.0,197.331
3731,1,880,1420.932207209016,-3466.445787922303,,,,2285.0,197.317
3732,1,881,1421.932207209016,-3465.445787922303,,,,2287.0,197.305
3733,1,882,1422.932207209016,-3464.445787922303,,,,2288.0,197.294
3734,1,883,1423.932207209016,-3463.445787922303,,,,2288.0,197.286
3735,1,884,1424.932207209016,-3462.445787922303,,,,2288.0,197.284
3912,1,1061,1601.932207209016,-3285.445787922303,,,,2343.0,197.279
3913,1,1062,1602.932207209016,-3284.445787922303,,,,2342.0,197.264
3914,1,1063,1603.932207209016,-3283.445787922303,,,,2340.0,197.251
3915,1,1064,1604.932207209016,-3282.445787922303,,,,2339.0,197.235
3916,1,1065,1605.932207209016,-3281.445787922303,,,,2339.0,197.223
3917,1,1066,1606.932207209016,-3280.445787922303,,,,2339.0,197.21
3918,1,1067,1607.932207209016,-3279.445787922303,,,,2340.0,197.197
3919,1,1068,1608.932207209016,-3278.445787922303,,,,2339.0,197.186
3920,1,1069,1609.932207209016,-3277.445787922303,,,,2338.0,197.171
3921,1,1070,1610.932207209016,-3276.445787922303,,,,2336.0,197.159
3922,1,1071,1611.932207209016,-3275.445787922303,,,,2334.0,197.144
3923,1,1072,1612.932207209016,-3274.445787922303,,,,2332.0,197.13
3924,1,1073,1613.932207209016,-3273.445787922303,,,,2331.0,197.117
3925,1,1074,1614.932207209016,-3272.445787922303,,,,2329.0,197.104
3926,1,1075,1615.932207209016,-3271.445787922303,,,,2328.0,197.092
3927,1,1076,1616.932207209016,-3270.445787922303,,,,2327.0,197.08
3928,1,1077,1617.932207209016,-3269.445787922303,,,,2327.0,197.07
3929,1,1078,1618.932207209016,-3268.445787922303,,,,2326.0,197.061
3930,1,1079,1619.932207209016,-3267.445787922303,,,,2325.0,197.051
3931,1,1080,1620.932207209016,-3266.445787922303,,,,2324.0,197.041
