fixIdx,legIdx,tickLead,togo,area
8947,2,3896.678679311422,90.218,9844.179347541487
8948,2,3897.678679311422,90.202,11251.506997145625
8949,2,3898.678679311422,90.188,9845.957057450865
8950,2,3899.678679311422,90.174,9846.953843408575
8951,2,3900.678679311422,90.161,9144.575565240808
8952,2,3901.678679311422,90.147,9849.054310327016
8953,2,3902.678679311422,90.133,9850.048772294724
8954,2,3903.678679311422,90.117,11258.209311127901
8955,2,3904.678679311422,90.103,9851.816682204102
8956,2,3905.678679311422,90.089,9852.808736151812
8957,2,3906.678679311422,90.077,8446.20805124218
8958,2,3907.678679311422,90.065,8447.244631782538
8959,2,3908.678679311422,90.054,7744.300245424793
8960,2,3909.678679311422,90.044,7041.253107869887
8961,2,3910.678679311422,90.034,7042.271952124018
8962,2,3911.678679311422,90.022,8451.85459538549
8963,2,3912.678679311422,90.012,7044.15193351513
8964,2,3913.678679311422,90.0,8454.109517042813
8965,2,3914.678679311422,89.989,7750.590108913375
8966,2,3915.678679311422,89.976,9160.906475793327
8967,2,3916.678679311422,89.964,8457.205938663888
8968,2,3917.678679311422,89.949,10572.619863464739
8969,2,3918.678679311422,89.936,9163.849684956826
8970,2,3919.678679311422,89.921,10574.724723374118
8971,2,3920.678679311422,89.908,9165.672440888306
8972,2,3921.678679311422,89.894,9871.759378562767
8973,2,3922.678679311422,89.881,9167.59427445543
8974,2,3923.678679311422,89.867,9873.827533481206
8975,2,3924.678679311422,89.856,7758.90528910773
8976,2,3925.678679311422,89.843,9170.726928910246
8977,2,3926.678679311422,89.83,9171.735798526664
8978,2,3927.678679311422,89.817,9172.743992133057
8979,2,3928.678679311422,89.804,9173.751509729422
8980,2,3929.678679311422,89.791,9174.758351345843
8981,2,3930.678679311422,89.777,9881.537527209339
8982,2,3931.678679311422,89.763,9882.510261167048
8983,2,3932.678679311422,89.748,10589.386236028491
8984,2,3933.678679311422,89.733,10590.308745622802
8985,2,3934.678679311422,89.718,10591.230355217112
8986,2,3935.678679311422,89.705,9179.966583818905
8987,2,3936.678679311422,89.69,10593.30707512649
8988,2,3937.678679311422,89.676,9887.999435904245
8989,2,3938.678679311422,89.663,9182.663043701099
8990,2,3939.678679311422,89.65,9183.662839297453
8991,2,3940.678679311422,89.637,9184.661958913885
8992,2,3941.678679311422,89.625,8479.11844092901
8993,2,3942.678679311422,89.613,8480.134093469369
8994,2,3943.678679311422,89.6,9187.860333024388
8995,2,3944.678679311422,89.587,9188.856800620737
8996,2,3945.678679311422,89.573,9896.709090603154
8997,2,3946.678679311422,89.561,8483.812062467541
8998,2,3947.678679311422,89.549,8484.824739017948
8999,2,3948.678679311422,89.537,8485.836839558306
9000,2,3949.678679311422,89.527,7072.4526303258235
9001,2,3950.678679311422,89.517,7073.453134589961
9002,2,3951.678679311422,89.506,7781.855094266999
9003,2,3952.678679311422,89.494,8490.353803161257
9004,2,3953.678679311422,89.483,7783.793038855268
9005,2,3954.678679311422,89.469,9907.767226289006
9006,2,3955.678679311422,89.456,9201.007500038993
9007,2,3956.678679311422,89.443,9201.996167655445
9008,2,3957.678679311422,89.432,7787.227511377078
9009,2,3958.678679311422,89.42,8496.2111898268
9010,2,3959.678679311422,89.408,8497.217026367158
9011,2,3960.678679311422,89.396,8498.222286907516
9012,2,3961.678679311422,89.382,9915.653873016145
9013,2,3962.678679311422,89.37,8500.040871411626
9014,2,3963.678679311422,89.355,10626.127079399412
9015,2,3964.678679311422,89.34,10627.023848993722
9016,2,3965.678679311422,89.327,9210.966863758646
9017,2,3966.678679311422,89.313,9920.504709807714
9018,2,3967.678679311422,89.3,9212.826895325768
9019,2,3968.678679311422,89.286,9922.506308726153
9020,2,3969.678679311422,89.273,9214.684118892894
9021,2,3970.678679311422,89.261,8506.813767986547
9022,2,3971.678679311422,89.249,8507.812332526906
9023,2,3972.678679311422,89.236,9217.826202993321
9024,2,3973.678679311422,89.223,9218.803404609791
9025,2,3974.678679311422,89.209,9928.938125493556
9026,2,3975.678679311422,89.197,8511.419165535126
9027,2,3976.678679311422,89.185,8512.414754075484
9028,2,3977.678679311422,89.172,9222.808870681025
9029,2,3978.678679311422,89.158,9933.248764339498
9030,2,3979.678679311422,89.146,8515.111526831648
9031,2,3980.678679311422,89.134,8516.104739372007
9032,2,3981.678679311422,89.122,8517.097375912364
9033,2,3982.678679311422,89.108,9937.659494188461
9034,2,3983.678679311422,89.095,9228.745391965045
9035,2,3984.678679311422,89.081,9939.637517106901
9036,2,3985.678679311422,89.067,9940.5695950747
9037,2,3986.678679311422,89.055,8521.382156585942
9038,2,3987.678679311422,89.043,8522.371169136391
9039,2,3988.678679311422,89.029,9943.807856959915
9040,2,3989.678679311422,89.016,9234.450425947649
9041,2,3990.678679311422,89.004,8525.047421892556
9042,2,3991.678679311422,88.99,9946.92796784211
9043,2,3992.678679311422,88.975,10658.355917455261
9044,2,3993.678679311422,88.959,11369.779553987275
9045,2,3994.678679311422,88.944,10659.979816283503
9046,2,3995.678679311422,88.929,10660.850305877813
9047,2,3996.678679311422,88.913,11372.437274981428
9048,2,3997.678679311422,88.9,9240.91010705084
9049,2,3998.678679311422,88.886,9952.72722752796
9050,2,3999.678679311422,88.873,9242.725470617963
9051,2,4000.678679311422,88.86,9243.68410823446
9052,2,4001.678679311422,88.848,8533.563776917214
9053,2,4002.678679311422,88.837,7823.375572464878
9054,2,4003.678679311422,88.829,5690.5406099153
9055,2,4004.678679311422,88.824,3557.215907075325
9104,2,4053.678679311422,88.817,5040.696739904524
9105,2,4054.678679311422,88.814,2160.7098854543833
9106,2,4055.678679311422,88.812,1440.7879621793834
9107,2,4056.678679311422,88.811,720.5594370485335
9143,2,4092.678679311422,88.807,2907.7336066512985
9144,2,4093.678679311422,88.802,3635.3708827658056
9145,2,4094.678679311422,88.796,4363.240464530265
9146,2,4095.678679311422,88.79,4364.011163665355
9147,2,4096.678679311422,88.783,5092.216661853208
9148,2,4097.678679311422,88.777,4365.502957791382
9149,2,4098.678679311422,88.768,6549.299155065365
9150,2,4099.678679311422,88.759,6550.232912119317
9151,2,4100.678679311422,88.749,7279.032710075842
9152,2,4101.678679311422,88.738,8007.941081301264
9153,2,4102.678679311422,88.728,7280.8597450305315
9154,2,4103.678679311422,88.716,8738.077914861162
9155,2,4104.678679311422,88.704,8739.02509540152
9156,2,4105.678679311422,88.694,7283.391863518251
9157,2,4106.678679311422,88.683,8012.733785099295
9158,2,4107.678679311422,88.672,8013.690873869255
9159,2,4108.678679311422,88.66,8743.202490716167
9160,2,4109.678679311422,88.648,8744.146887256526
9161,2,4110.678679311422,88.632,11659.857860286798
9162,2,4111.678679311422,88.618,10203.130642718585
9163,2,4112.678679311422,88.604,10203.999972665937
9164,2,4113.678679311422,88.59,10204.868518623647
9165,2,4114.678679311422,88.579,8018.928576291388
9166,2,4115.678679311422,88.566,9477.934695399535
9167,2,4116.678679311422,88.552,10207.930520508859
9168,2,4117.678679311422,88.539,9479.64985497702
9169,2,4118.678679311422,88.525,10209.776103427299
9170,2,4119.678679311422,88.511,10210.640085395373
9171,2,4120.678679311422,88.497,10211.503283342718
9172,2,4121.678679311422,88.484,9482.964586465605
9173,2,4122.678679311422,88.47,10213.342762261156
9174,2,4123.678679311422,88.457,9484.67127003273
9175,2,4124.678679311422,88.444,9485.577179628754
9176,2,4125.678679311422,88.432,8756.802504982976
9177,2,4126.678679311422,88.422,7298.196311513155
9178,2,4127.678679311422,88.41,8758.8681146403
9179,2,4128.678679311422,88.4,7299.916772883886
9180,2,4129.678679311422,88.388,8760.931612297623
9181,2,4130.678679311422,88.377,8031.75358424054
9182,2,4131.678679311422,88.365,8762.893837666643
9183,2,4132.678679311422,88.351,10224.346236901689
9184,2,4133.678679311422,88.337,10225.199858859398
9185,2,4134.678679311422,88.322,10956.423012127561
9186,2,4135.678679311422,88.309,9496.357790474744
9187,2,4136.678679311422,88.296,9497.255796070756
9188,2,4137.678679311422,88.282,10228.72236170364
9189,2,4138.678679311422,88.271,8037.657505550007
9190,2,4139.678679311422,88.258,9500.053388545979
9191,2,4140.678679311422,88.244,10231.732955578469
9192,2,4141.678679311422,88.229,10963.416923612283
9193,2,4142.678679311422,88.217,8771.50898699773
9194,2,4143.678679311422,88.203,10234.389096454619
9195,2,4144.678679311422,88.193,7311.047403161915
9196,2,4145.678679311422,88.182,8043.134847695913
9197,2,4146.678679311422,88.171,8044.07147645552
9198,2,4147.678679311422,88.159,8776.322178276128
9199,2,4148.678679311422,88.145,10240.00104228981
9200,2,4149.678679311422,88.132,9509.407811182164
9201,2,4150.678679311422,88.119,9510.29648279895
9202,2,4151.678679311422,88.106,9511.184478405345
9203,2,4152.678679311422,88.094,8780.423799536402
9204,2,4153.678679311422,88.082,8781.34194007676
9205,2,4154.678679311422,88.071,8050.450247361031
9206,2,4155.678679311422,88.058,9515.161891403164
9207,2,4156.678679311422,88.044,10247.992002984724
9208,2,4157.678679311422,88.029,10980.824371536415
9209,2,4158.678679311422,88.015,10249.54601188672
9210,2,4159.678679311422,87.999,11714.58692896904
9211,2,4160.678679311422,87.985,10250.980273796096
9212,2,4161.678679311422,87.971,10251.812671753807
9213,2,4162.678679311422,87.957,10252.644285721923
9214,2,4163.678679311422,87.945,8788.792884579185
9215,2,4164.678679311422,87.933,8789.704281109134
9216,2,4165.678679311422,87.921,8790.615101659903
9217,2,4166.678679311422,87.908,9524.098291564254
9218,2,4167.678679311422,87.895,9524.975393170647
9219,2,4168.678679311422,87.882,9525.851818766627
9220,2,4169.678679311422,87.87,8793.952406956425
9221,2,4170.678679311422,87.858,8794.860275496783
9222,2,4171.678679311422,87.846,8795.767568037141
9223,2,4172.678679311422,87.833,9529.6762301396
9224,2,4173.678679311422,87.821,8797.480256829554
9225,2,4174.678679311422,87.807,10264.666539258405
9226,2,4175.678679311422,87.793,10265.488465216114
9227,2,4176.678679311422,87.779,10266.309607184245
9228,2,4177.678679311422,87.765,10267.129965131533
9229,2,4178.678679311422,87.75,11001.311825990579
9230,2,4179.678679311422,87.737,9535.230541156041
9231,2,4180.678679311422,87.723,10269.586335004662
9232,2,4181.678679311422,87.71,9536.857664723164
9233,2,4182.678679311422,87.698,8804.103621368227
9234,2,4183.678679311422,87.686,8805.003617898159
9235,2,4184.678679311422,87.675,8072.1238167172905
9236,2,4185.678679311422,87.664,8073.039853466468
9237,2,4186.678679311422,87.653,8073.955406226075
9238,2,4187.678679311422,87.643,7340.833217689506
9239,2,4188.678679311422,87.635,5873.465772415524
9240,2,4189.678679311422,87.627,5874.331717555006
9241,2,4190.678679311422,87.618,6609.5593664036205
9242,2,4191.678679311422,87.61,5875.995772943797
9243,2,4192.678679311422,87.601,6611.430816727752
9244,2,4193.678679311422,87.591,7346.989551863024
9245,2,4194.678679311422,87.58,8082.646648267097
9246,2,4195.678679311422,87.569,8083.558175026703
9247,2,4196.678679311422,87.557,8819.370604717438
9248,2,4197.678679311422,87.545,8820.263185257796
9249,2,4198.678679311422,87.532,9556.196872795319
9250,2,4199.678679311422,87.52,8821.945826050209
9251,2,4200.678679311422,87.507,9558.01843364332
9252,2,4201.678679311422,87.495,8823.626066842624
9253,2,4202.678679311422,87.482,9559.837394512217
9254,2,4203.678679311422,87.467,11031.440719003227
9255,2,4204.678679311422,87.453,10296.75352418906
9256,2,4205.678679311422,87.439,10297.553778157222
9257,2,4206.678679311422,87.425,10298.353248104479
9258,2,4207.678679311422,87.411,10299.151934062189
9259,2,4208.678679311422,87.399,8828.62943916549
9260,2,4209.678679311422,87.385,10300.98269598365
