fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
2544,1,1,-1886.190370605168,-5002.960023463144,,,,987.0,85.788
2545,1,2,-1885.190370605168,-5001.960023463144,,,,982.0,85.787
2569,1,26,-1861.190370605168,-4977.960023463144,,,,989.0,85.786
2574,1,31,-1856.190370605168,-4972.960023463144,,,,992.0,85.784
2593,1,50,-1837.190370605168,-4953.960023463144,,,,977.0,85.783
2604,1,61,-1826.190370605168,-4942.960023463144,,,,989.0,85.782
2636,1,93,-1794.190370605168,-4910.960023463144,,,,984.0,85.781
2678,1,135,-1752.190370605168,-4868.960023463144,,,,984.0,85.78
2681,1,138,-1749.190370605168,-4865.960023463144,,,,987.0,85.779
2686,1,143,-1744.190370605168,-4860.960023463144,,,,987.0,85.778
2706,1,163,-1724.190370605168,-4840.960023463144,,,,976.0,85.777
2717,1,174,-1713.190370605168,-4829.960023463144,,,,971.0,85.776
2720,1,177,-1710.190370605168,-4826.960023463144,,,,975.0,85.774
2722,1,179,-1708.190370605168,-4824.960023463144,,,,977.0,85.773
2729,1,186,-1701.190370605168,-4817.960023463144,,,,987.0,85.772
2740,1,197,-1690.190370605168,-4806.960023463144,,,,990.0,85.771
2749,1,206,-1681.190370605168,-4797.960023463144,,,,975.0,85.77
2756,1,213,-1674.190370605168,-4790.960023463144,,,,975.0,85.766
2757,1,214,-1673.190370605168,-4789.960023463144,,,,990.0,85.762
2758,1,215,-1672.190370605168,-4788.960023463144,,,,1008.0,85.754
2759,1,216,-1671.190370605168,-4787.960023463144,,,,1004.0,85.746
2760,1,217,-1670.190370605168,-4786.960023463144,,,,995.0,85.735
2761,1,218,-1669.190370605168,-4785.960023463144,,,,988.0,85.723
2762,1,219,-1668.190370605168,-4784.960023463144,,,,983.0,85.712
2763,1,220,-1667.190370605168,-4783.960023463144,,,,980.0,85.701
2764,1,221,-1666.190370605168,-4782.960023463144,,,,980.0,85.692
2765,1,222,-1665.190370605168,-4781.960023463144,,,,983.0,85.683
2766,1,223,-1664.190370605168,-4780.960023463144,,,,987.0,85.676
2767,1,224,-1663.190370605168,-4779.960023463144,,,,989.0,85.668
2768,1,225,-1662.190370605168,-4778.960023463144,,,,991.0,85.661
2769,1,226,-1661.190370605168,-4777.960023463144,,,,991.0,85.653
2770,1,227,-1660.190370605168,-4776.960023463144,,,,995.0,85.647
2771,1,228,-1659.190370605168,-4775.960023463144,,,,996.0,85.64
2772,1,229,-1658.190370605168,-4774.960023463144,,,,996.0,85.634
2773,1,230,-1657.190370605168,-4773.960023463144,,,,997.0,85.626
2774,1,231,-1656.190370605168,-4772.960023463144,,,,998.0,85.62
2775,1,232,-1655.190370605168,-4771.960023463144,,,,999.0,85.613
2776,1,233,-1654.190370605168,-4770.960023463144,,,,1001.0,85.606
2777,1,234,-1653.190370605168,-4769.960023463144,,,,1002.0,85.6
2778,1,235,-1652.190370605168,-4768.960023463144,,,,1004.0,85.592
2779,1,236,-1651.190370605168,-4767.960023463144,,,,1005.0,85.584
2780,1,237,-1650.190370605168,-4766.960023463144,,,,1006.0,85.577
2781,1,238,-1649.190370605168,-4765.960023463144,,,,1007.0,85.569
2782,1,239,-1648.190370605168,-4764.960023463144,,,,1008.0,85.561
2783,1,240,-1647.190370605168,-4763.960023463144,,,,1009.0,85.554
2784,1,241,-1646.190370605168,-4762.960023463144,,,,1009.0,85.548
2785,1,242,-1645.190370605168,-4761.960023463144,,,,1010.0,85.543
2786,1,243,-1644.190370605168,-4760.960023463144,,,,1011.0,85.538
2787,1,244,-1643.190370605168,-4759.960023463144,,,,1012.0,85.536
2889,1,346,-1541.190370605168,-4657.960023463144,,,,1145.0,85.533
2890,1,347,-1540.190370605168,-4656.960023463144,,,,1145.0,85.523
2891,1,348,-1539.190370605168,-4655.960023463144,,,,1145.0,85.514
2892,1,349,-1538.190370605168,-4654.960023463144,,,,1146.0,85.506
2893,1,350,-1537.190370605168,-4653.960023463144,,,,1146.0,85.497
2894,1,351,-1536.190370605168,-4652.960023463144,,,,1147.0,85.487
2895,1,352,-1535.190370605168,-4651.960023463144,,,,1147.0,85.476
2896,1,353,-1534.190370605168,-4650.960023463144,,,,1147.0,85.466
2897,1,354,-1533.190370605168,-4649.960023463144,,,,1147.0,85.455
2898,1,355,-1532.190370605168,-4648.960023463144,,,,1148.0,85.445
2899,1,356,-1531.190370605168,-4647.960023463144,,,,1150.0,85.433
