fixIdx,legIdx,tickLead,togo,area
975,2,442.220477532842,141.63,1879.0500865985887
976,2,443.220477532842,141.616,1757.565983307431
977,2,444.220477532842,141.603,1635.5518325435198
978,2,445.220477532842,141.587,2017.3117925228737
979,2,446.220477532842,141.574,1642.5790762998715
980,2,447.220477532842,141.559,1899.3431319814638
981,2,448.220477532842,141.545,1776.502141001677
982,2,449.220477532842,141.532,1653.1318065383869
983,2,450.220477532842,141.518,1784.0886863206679
984,2,451.220477532842,141.503,1915.5730615792243
985,2,452.220477532842,141.488,1919.6148773607013
986,2,453.220477532842,141.473,1923.655793145808
987,2,454.220477532842,141.457,2056.201595336385
988,2,455.220477532842,141.443,1802.9462233142021
989,2,456.220477532842,141.427,2064.817383677964
990,2,457.220477532842,141.411,2069.1092067897966
991,2,458.220477532842,141.395,2073.4000059052973
992,2,459.220477532842,141.379,2077.689781024489
993,2,460.220477532842,141.365,1821.7441017912456
994,2,461.220477532842,141.351,1825.521719367754
995,2,462.220477532842,141.337,1829.2985529405637
996,2,463.220477532842,141.323,1833.074602509652
997,2,464.220477532842,141.309,1836.8498680861833
998,2,465.220477532842,141.293,2103.5557982666137
999,2,466.220477532842,141.28,1712.6371469732298
1000,2,467.220477532842,141.264,2112.165481663458
1001,2,468.220477532842,141.25,1851.90375985731
1002,2,469.220477532842,141.236,1855.6750214301196
1003,2,470.220477532842,141.221,1992.2559813355972
1004,2,471.220477532842,141.207,1863.2019984023684
1005,2,472.220477532842,141.193,1866.970879971388
1006,2,473.220477532842,141.179,1870.738977547988
1007,2,474.220477532842,141.165,1874.5062911207979
1008,2,475.220477532842,141.151,1878.2728206897946
1009,2,476.220477532842,141.137,1882.0385662664175
1010,2,477.220477532842,141.123,1885.8035278392272
1011,2,478.220477532842,141.107,2159.490645984307
1012,2,479.220477532842,141.093,1893.304262638105
1013,2,480.220477532842,141.078,2032.5643854869447
1014,2,481.220477532842,141.064,1900.8151116103538
1015,2,482.220477532842,141.048,2176.6429337227155
1016,2,483.220477532842,141.032,2180.9093168382165
1017,2,484.220477532842,141.017,2048.6085220169266
1018,2,485.220477532842,141.002,2052.6209077981516
1019,2,486.220477532842,140.988,1919.5303744341772
1020,2,487.220477532842,140.974,1923.287244006987
1021,2,488.220477532842,140.96,1927.0433295758846
1022,2,489.220477532842,140.946,1930.7986311526067
1023,2,490.220477532842,140.934,1658.2001784835527
1024,2,491.220477532842,140.919,2076.7794788090728
1025,2,492.220477532842,140.905,1942.0736140444071
1026,2,493.220477532842,140.891,1945.8258076172167
1027,2,494.220477532842,140.877,1949.5772171860688
1028,2,495.220477532842,140.863,1953.3278427628366
1029,2,496.220477532842,140.847,2236.6443316111913
1030,2,497.220477532842,140.833,1960.7988975617143
1031,2,498.220477532842,140.821,1683.9094845484847
1032,2,499.220477532842,140.806,2108.9094813902075
1033,2,500.220477532842,140.792,1972.0552044535145
1034,2,501.220477532842,140.778,1975.8010980263243
1035,2,502.220477532842,140.765,1838.1565787791153
1036,2,503.220477532842,140.751,1983.3046233412886
1037,2,504.220477532842,140.735,2270.8960854196944
1038,2,505.220477532842,140.721,1990.7626861441927
1039,2,506.220477532842,140.707,1994.5046317170024
1040,2,507.220477532842,140.693,1998.2457932857556
1041,2,508.220477532842,140.679,2001.9861708626222
1042,2,509.220477532842,140.665,2005.7257644354318
1043,2,510.220477532842,140.65,2152.9901045553133
1044,2,511.220477532842,140.637,1869.3957680298988
1045,2,512.220477532842,140.621,2305.0577131176356
1046,2,513.220477532842,140.606,2164.9718285290614
1047,2,514.220477532842,140.592,2024.3687777752584
1048,2,515.220477532842,140.575,2462.6709321136263
1049,2,516.220477532842,140.56,2176.914659265953
1050,2,517.220477532842,140.544,2326.283921860983
1051,2,518.220477532842,140.529,2184.86676422598
1052,2,519.220477532842,140.513,2334.7641831472656
1053,2,520.220477532842,140.498,2192.8151491818826
1054,2,521.220477532842,140.482,2343.2404764335483
1055,2,522.220477532842,140.467,2200.759814133615
1056,2,523.220477532842,140.451,2351.712801724009
1057,2,524.220477532842,140.435,2355.939088835332
1058,2,525.220477532842,140.421,2065.1585141329697
1059,2,526.220477532842,140.406,2216.653770659715
1060,2,527.220477532842,140.39,2368.662419351885
1061,2,528.220477532842,140.376,2076.288908327071
1062,2,529.220477532842,140.362,2080.0121779040965
1063,2,530.220477532842,140.346,2381.394076915304
1064,2,531.220477532842,140.33,2385.613420030805
1065,2,532.220477532842,140.313,2539.187175099873
1066,2,533.220477532842,140.299,2094.792904977486
1067,2,534.220477532842,140.283,2398.282400436849
1068,2,535.220477532842,140.267,2402.4976795480893
1069,2,536.220477532842,140.252,2256.3004820534775
1070,2,537.220477532842,140.236,2410.942356838655
1071,2,538.220477532842,140.222,2113.275341627901
1072,2,539.220477532842,140.207,2268.195889413095
1073,2,540.220477532842,140.195,1817.7468280940363
1074,2,541.220477532842,140.18,2276.1703708219884
1075,2,542.220477532842,140.165,2280.131996611415
1076,2,543.220477532842,140.151,2131.8274793185415
1077,2,544.220477532842,140.136,2288.06887479597
1078,2,545.220477532842,140.122,2139.233608290775
1079,2,546.220477532842,140.109,1989.8828383143766
1080,2,547.220477532842,140.094,2299.99229199429
1081,2,548.220477532842,140.079,2303.9486377750386
1082,2,549.220477532842,140.067,1846.3430387870567
1083,2,550.220477532842,140.054,2003.66803503151
1084,2,551.220477532842,140.04,2161.5096780787185
1085,2,552.220477532842,140.027,2010.5635222562846
1086,2,553.220477532842,140.014,2014.0174047304768
1087,2,554.220477532842,140.002,1862.287214842106
1088,2,555.220477532842,139.99,1865.4875033445767
1089,2,556.220477532842,139.976,2180.119510982993
1090,2,557.220477532842,139.964,1871.8596057665964
1091,2,558.220477532842,139.95,2187.552174475354
1092,2,559.220477532842,139.938,1878.229212188616
1093,2,560.220477532842,139.924,2194.9819259632595
1094,2,561.220477532842,139.909,2355.7201483440376
1095,2,562.220477532842,139.895,2202.361538935493
1096,2,563.220477532842,139.88,2363.625136528592
1097,2,564.220477532842,139.865,2367.56786230922
1098,2,565.220477532842,139.85,2371.50968809882
1099,2,566.220477532842,139.834,2533.804928611322
1100,2,567.220477532842,139.819,2379.373623054722
1101,2,568.220477532842,139.804,2383.3127188353205
1102,2,569.220477532842,139.791,2068.9655924061667
1103,2,570.220477532842,139.775,2550.6281283497306
1104,2,571.220477532842,139.762,2075.8043621661095
1105,2,572.220477532842,139.746,2559.0432197465752
1106,2,573.220477532842,139.733,2082.6401159260527
1107,2,574.220477532842,139.719,2246.538852426714
1108,2,575.220477532842,139.706,2089.502765150827
1109,2,576.220477532842,139.691,2414.9140914164554
1110,2,577.220477532842,139.677,2257.597025145143
1111,2,578.220477532842,139.664,2099.7689233893657
1112,2,579.220477532842,139.65,2264.9814384595356
1113,2,580.220477532842,139.637,2106.6244746141406
1114,2,581.220477532842,139.624,2110.0587530927355
1115,2,582.220477532842,139.611,2113.492355571331
1116,2,583.220477532842,139.597,2279.7575232708573
1117,2,584.220477532842,139.582,2446.5313304595297
1118,2,585.220477532842,139.569,2123.743459809869
1119,2,586.220477532842,139.554,2454.4142752537596
1120,2,587.220477532842,139.54,2294.4559673933536
1121,2,588.220477532842,139.525,2462.276213438299
1122,2,589.220477532842,139.512,2137.386087062171
1123,2,590.220477532842,139.499,2140.8140735407665
1124,2,591.220477532842,139.485,2309.1747518532757
1125,2,592.220477532842,139.472,2147.652620765541
1126,2,593.220477532842,139.461,1820.1564420556356
1127,2,594.220477532842,139.448,2154.5347091875633
1128,2,595.220477532842,139.434,2323.947881016057
1129,2,596.220477532842,139.423,1828.8627907364146
1130,2,597.220477532842,139.41,2164.822106355765
1131,2,598.220477532842,139.397,2168.24473683436
1132,2,599.220477532842,139.384,2171.666691312955
1133,2,600.220477532842,139.371,2175.0879697867954
1134,2,601.220477532842,139.359,2010.938204432825
1135,2,602.220477532842,139.346,2181.9441564811573
1136,2,603.220477532842,139.335,1849.166944891903
1137,2,604.220477532842,139.324,1852.0862145363392
1138,2,605.220477532842,139.311,2192.2629008466065
1139,2,606.220477532842,139.299,2026.7890469451781
1140,2,607.220477532842,139.288,1860.8010429181297
1141,2,608.220477532842,139.275,2202.56037147964
1142,2,609.220477532842,139.264,1866.60828850599
1143,2,610.220477532842,139.253,1869.5245441552563
1144,2,611.220477532842,139.24,2212.868117840251
1145,2,612.220477532842,139.228,2045.805743251463
1146,2,613.220477532842,139.215,2219.7103425346954
1147,2,614.220477532842,139.204,1881.117162475641
1148,2,615.220477532842,139.192,2055.299040758875
1149,2,616.220477532842,139.177,2573.0501716576305
1150,2,617.220477532842,139.164,2233.370944181492
1151,2,618.220477532842,139.151,2236.7804186551975
1152,2,619.220477532842,139.137,2412.5027955249575
1153,2,620.220477532842,139.124,2243.5812138848623
1154,2,621.220477532842,139.111,2246.9886343634575
1155,2,622.220477532842,139.096,2596.591385892329
1156,2,623.220477532842,139.084,2080.409669281111
