fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
2655,1,1,-2857.331220059553,-7227.441388784609,2019-07-17T11:27:29Z,46.23056667,12.80701667,950.00,74.848
2656,1,2,-2856.331220059553,-7226.441388784609,2019-07-17T11:27:30Z,46.23053333,12.80701667,950.00,74.847
2657,1,3,-2855.331220059553,-7225.441388784609,2019-07-17T11:27:31Z,46.23048333,12.80701667,949.00,74.845
2658,1,4,-2854.331220059553,-7224.441388784609,2019-07-17T11:27:32Z,46.23040000,12.80700000,947.00,74.844
2659,1,5,-2853.331220059553,-7223.441388784609,2019-07-17T11:27:33Z,46.23031667,12.80698333,945.00,74.843
2660,1,6,-2852.331220059553,-7222.441388784609,2019-07-17T11:27:34Z,46.23021667,12.80696667,941.00,74.841
2661,1,7,-2851.331220059553,-7221.441388784609,2019-07-17T11:27:35Z,46.23011667,12.80693333,938.00,74.84
2662,1,8,-2850.331220059553,-7220.441388784609,2019-07-17T11:27:36Z,46.22998333,12.80688333,937.00,74.84
2663,1,9,-2849.331220059553,-7219.441388784609,2019-07-17T11:27:37Z,46.22985000,12.80683333,937.00,74.839
2664,1,10,-2848.331220059553,-7218.441388784609,2019-07-17T11:27:38Z,46.22971667,12.80680000,936.00,74.838
2665,1,11,-2847.331220059553,-7217.441388784609,2019-07-17T11:27:39Z,46.22958333,12.80678333,934.00,74.835
2666,1,12,-2846.331220059553,-7216.441388784609,2019-07-17T11:27:40Z,46.22945000,12.80678333,933.00,74.831
2667,1,13,-2845.331220059553,-7215.441388784609,2019-07-17T11:27:41Z,46.22931667,12.80680000,933.00,74.825
2668,1,14,-2844.331220059553,-7214.441388784609,2019-07-17T11:27:42Z,46.22920000,12.80683333,932.00,74.819
2669,1,15,-2843.331220059553,-7213.441388784609,2019-07-17T11:27:43Z,46.22906667,12.80686667,931.00,74.813
2670,1,16,-2842.331220059553,-7212.441388784609,2019-07-17T11:27:44Z,46.22895000,12.80691667,931.00,74.806
2671,1,17,-2841.331220059553,-7211.441388784609,2019-07-17T11:27:45Z,46.22885000,12.80696667,931.00,74.799
2672,1,18,-2840.331220059553,-7210.441388784609,2019-07-17T11:27:46Z,46.22873333,12.80701667,931.00,74.791
2673,1,19,-2839.331220059553,-7209.441388784609,2019-07-17T11:27:47Z,46.22863333,12.80706667,930.00,74.785
2674,1,20,-2838.331220059553,-7208.441388784609,2019-07-17T11:27:48Z,46.22851667,12.80710000,929.00,74.779
2675,1,21,-2837.331220059553,-7207.441388784609,2019-07-17T11:27:49Z,46.22840000,12.80715000,928.00,74.771
2676,1,22,-2836.331220059553,-7206.441388784609,2019-07-17T11:27:50Z,46.22828333,12.80718333,926.00,74.765
2677,1,23,-2835.331220059553,-7205.441388784609,2019-07-17T11:27:51Z,46.22816667,12.80721667,925.00,74.759
2678,1,24,-2834.331220059553,-7204.441388784609,2019-07-17T11:27:52Z,46.22805000,12.80725000,926.00,74.753
2679,1,25,-2833.331220059553,-7203.441388784609,2019-07-17T11:27:53Z,46.22793333,12.80728333,925.00,74.747
2680,1,26,-2832.331220059553,-7202.441388784609,2019-07-17T11:27:54Z,46.22783333,12.80730000,925.00,74.743
2681,1,27,-2831.331220059553,-7201.441388784609,2019-07-17T11:27:55Z,46.22771667,12.80735000,924.00,74.736
2682,1,28,-2830.331220059553,-7200.441388784609,2019-07-17T11:27:56Z,46.22758333,12.80743333,923.00,74.726
2683,1,29,-2829.331220059553,-7199.441388784609,2019-07-17T11:27:57Z,46.22746667,12.80751667,921.00,74.716
2684,1,30,-2828.331220059553,-7198.441388784609,2019-07-17T11:27:58Z,46.22736667,12.80763333,918.00,74.704
2685,1,31,-2827.331220059553,-7197.441388784609,2019-07-17T11:27:59Z,46.22725000,12.80775000,916.00,74.692
2686,1,32,-2826.331220059553,-7196.441388784609,2019-07-17T11:28:00Z,46.22713333,12.80786667,914.00,74.68
2687,1,33,-2825.331220059553,-7195.441388784609,2019-07-17T11:28:01Z,46.22701667,12.80796667,912.00,74.669
2688,1,34,-2824.331220059553,-7194.441388784609,2019-07-17T11:28:02Z,46.22690000,12.80805000,911.00,74.659
2689,1,35,-2823.331220059553,-7193.441388784609,2019-07-17T11:28:03Z,46.22680000,12.80815000,912.00,74.649
2690,1,36,-2822.331220059553,-7192.441388784609,2019-07-17T11:28:04Z,46.22670000,12.80825000,912.00,74.638
2691,1,37,-2821.331220059553,-7191.441388784609,2019-07-17T11:28:05Z,46.22661667,12.80836667,912.00,74.627
2692,1,38,-2820.331220059553,-7190.441388784609,2019-07-17T11:28:06Z,46.22653333,12.80850000,910.00,74.615
2693,1,39,-2819.331220059553,-7189.441388784609,2019-07-17T11:28:07Z,46.22645000,12.80865000,909.00,74.601
2694,1,40,-2818.331220059553,-7188.441388784609,2019-07-17T11:28:08Z,46.22638333,12.80881667,908.00,74.587
2695,1,41,-2817.331220059553,-7187.441388784609,2019-07-17T11:28:09Z,46.22630000,12.80900000,906.00,74.571
2696,1,42,-2816.331220059553,-7186.441388784609,2019-07-17T11:28:10Z,46.22623333,12.80920000,904.00,74.554
2697,1,43,-2815.331220059553,-7185.441388784609,2019-07-17T11:28:11Z,46.22615000,12.80936667,901.00,74.539
2698,1,44,-2814.331220059553,-7184.441388784609,2019-07-17T11:28:12Z,46.22606667,12.80955000,899.00,74.523
2699,1,45,-2813.331220059553,-7183.441388784609,2019-07-17T11:28:13Z,46.22596667,12.80973333,898.00,74.506
2700,1,46,-2812.331220059553,-7182.441388784609,2019-07-17T11:28:14Z,46.22588333,12.80990000,896.00,74.492
2701,1,47,-2811.331220059553,-7181.441388784609,2019-07-17T11:28:15Z,46.22578333,12.81008333,895.00,74.475
2702,1,48,-2810.331220059553,-7180.441388784609,2019-07-17T11:28:16Z,46.22570000,12.81025000,894.00,74.46
2703,1,49,-2809.331220059553,-7179.441388784609,2019-07-17T11:28:17Z,46.22560000,12.81041667,893.00,74.445
2704,1,50,-2808.331220059553,-7178.441388784609,2019-07-17T11:28:18Z,46.22550000,12.81060000,892.00,74.428
2705,1,51,-2807.331220059553,-7177.441388784609,2019-07-17T11:28:19Z,46.22540000,12.81076667,891.00,74.413
2706,1,52,-2806.331220059553,-7176.441388784609,2019-07-17T11:28:20Z,46.22528333,12.81091667,890.00,74.398
2707,1,53,-2805.331220059553,-7175.441388784609,2019-07-17T11:28:21Z,46.22516667,12.81108333,889.00,74.382
2708,1,54,-2804.331220059553,-7174.441388784609,2019-07-17T11:28:22Z,46.22505000,12.81125000,888.00,74.367
2709,1,55,-2803.331220059553,-7173.441388784609,2019-07-17T11:28:23Z,46.22495000,12.81141667,888.00,74.351
2710,1,56,-2802.331220059553,-7172.441388784609,2019-07-17T11:28:24Z,46.22485000,12.81158333,887.00,74.336
2711,1,57,-2801.331220059553,-7171.441388784609,2019-07-17T11:28:25Z,46.22473333,12.81173333,886.00,74.321
2712,1,58,-2800.331220059553,-7170.441388784609,2019-07-17T11:28:26Z,46.22460000,12.81188333,884.00,74.306
2713,1,59,-2799.331220059553,-7169.441388784609,2019-07-17T11:28:27Z,46.22448333,12.81203333,884.00,74.292
2714,1,60,-2798.331220059553,-7168.441388784609,2019-07-17T11:28:28Z,46.22436667,12.81216667,885.00,74.278
2715,1,61,-2797.331220059553,-7167.441388784609,2019-07-17T11:28:29Z,46.22425000,12.81230000,888.00,74.265
2716,1,62,-2796.331220059553,-7166.441388784609,2019-07-17T11:28:30Z,46.22413333,12.81241667,889.00,74.253
2717,1,63,-2795.331220059553,-7165.441388784609,2019-07-17T11:28:31Z,46.22403333,12.81248333,894.00,74.245
2718,1,64,-2794.331220059553,-7164.441388784609,2019-07-17T11:28:32Z,46.22391667,12.81253333,898.00,74.238
2719,1,65,-2793.331220059553,-7163.441388784609,2019-07-17T11:28:33Z,46.22380000,12.81253333,902.00,74.234
2720,1,66,-2792.331220059553,-7162.441388784609,2019-07-17T11:28:34Z,46.22368333,12.81253333,904.00,74.231
2721,1,67,-2791.331220059553,-7161.441388784609,2019-07-17T11:28:35Z,46.22356667,12.81256667,907.00,74.225
2722,1,68,-2790.331220059553,-7160.441388784609,2019-07-17T11:28:36Z,46.22345000,12.81265000,909.00,74.215
2723,1,69,-2789.331220059553,-7159.441388784609,2019-07-17T11:28:37Z,46.22336667,12.81278333,912.00,74.203
2724,1,70,-2788.331220059553,-7158.441388784609,2019-07-17T11:28:38Z,46.22335000,12.81296667,914.00,74.189
2725,1,71,-2787.331220059553,-7157.441388784609,2019-07-17T11:28:39Z,46.22341667,12.81313333,916.00,74.178
2726,1,72,-2786.331220059553,-7156.441388784609,2019-07-17T11:28:40Z,46.22353333,12.81323333,917.00,74.174
2727,1,73,-2785.331220059553,-7155.441388784609,2019-07-17T11:28:41Z,46.22371667,12.81325000,916.00,74.179
2728,1,74,-2784.331220059553,-7154.441388784609,2019-07-17T11:28:42Z,46.22388333,12.81313333,915.00,74.192
2729,1,75,-2783.331220059553,-7153.441388784609,2019-07-17T11:28:43Z,46.22400000,12.81293333,916.00,74.211
2730,1,76,-2782.331220059553,-7152.441388784609,2019-07-17T11:28:44Z,46.22405000,12.81270000,918.00,74.229
