fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
3392,1,1,-5083.32131546824,-7591.228619080435,,,,902.0,94.587
3395,1,4,-5080.32131546824,-7588.228619080435,,,,901.0,94.585
3426,1,35,-5049.32131546824,-7557.228619080435,,,,898.0,94.584
3427,1,36,-5048.32131546824,-7556.228619080435,,,,896.0,94.582
3428,1,37,-5047.32131546824,-7555.228619080435,,,,893.0,94.581
3435,1,44,-5040.32131546824,-7548.228619080435,,,,902.0,94.58
3436,1,45,-5039.32131546824,-7547.228619080435,,,,902.0,94.579
3437,1,46,-5038.32131546824,-7546.228619080435,,,,908.0,94.577
3438,1,47,-5037.32131546824,-7545.228619080435,,,,913.0,94.573
3439,1,48,-5036.32131546824,-7544.228619080435,,,,914.0,94.567
3440,1,49,-5035.32131546824,-7543.228619080435,,,,912.0,94.559
3441,1,50,-5034.32131546824,-7542.228619080435,,,,905.0,94.55
3442,1,51,-5033.32131546824,-7541.228619080435,,,,911.0,94.542
3443,1,52,-5032.32131546824,-7540.228619080435,,,,903.0,94.534
3444,1,53,-5031.32131546824,-7539.228619080435,,,,915.0,94.527
3445,1,54,-5030.32131546824,-7538.228619080435,,,,924.0,94.519
3446,1,55,-5029.32131546824,-7537.228619080435,,,,924.0,94.51
3447,1,56,-5028.32131546824,-7536.228619080435,,,,923.0,94.5
3448,1,57,-5027.32131546824,-7535.228619080435,,,,921.0,94.488
3449,1,58,-5026.32131546824,-7534.228619080435,,,,923.0,94.479
3450,1,59,-5025.32131546824,-7533.228619080435,,,,923.0,94.467
3451,1,60,-5024.32131546824,-7532.228619080435,,,,918.0,94.457
3452,1,61,-5023.32131546824,-7531.228619080435,,,,912.0,94.445
3453,1,62,-5022.32131546824,-7530.228619080435,,,,917.0,94.434
3454,1,63,-5021.32131546824,-7529.228619080435,,,,915.0,94.425
3455,1,64,-5020.32131546824,-7528.228619080435,,,,925.0,94.415
3456,1,65,-5019.32131546824,-7527.228619080435,,,,926.0,94.404
3457,1,66,-5018.32131546824,-7526.228619080435,,,,924.0,94.392
3458,1,67,-5017.32131546824,-7525.228619080435,,,,923.0,94.38
3459,1,68,-5016.32131546824,-7524.228619080435,,,,920.0,94.368
3460,1,69,-5015.32131546824,-7523.228619080435,,,,920.0,94.357
3461,1,70,-5014.32131546824,-7522.228619080435,,,,922.0,94.346
3462,1,71,-5013.32131546824,-7521.228619080435,,,,918.0,94.336
3463,1,72,-5012.32131546824,-7520.228619080435,,,,919.0,94.328
3464,1,73,-5011.32131546824,-7519.228619080435,,,,919.0,94.325
3465,1,74,-5010.32131546824,-7518.228619080435,,,,928.0,94.324
3482,1,91,-4993.32131546824,-7501.228619080435,,,,912.0,94.323
3483,1,92,-4992.32131546824,-7500.228619080435,,,,911.0,94.31
3484,1,93,-4991.32131546824,-7499.228619080435,,,,911.0,94.299
3485,1,94,-4990.32131546824,-7498.228619080435,,,,912.0,94.288
3486,1,95,-4989.32131546824,-7497.228619080435,,,,913.0,94.276
3487,1,96,-4988.32131546824,-7496.228619080435,,,,913.0,94.264
3488,1,97,-4987.32131546824,-7495.228619080435,,,,908.0,94.252
3489,1,98,-4986.32131546824,-7494.228619080435,,,,909.0,94.24
3490,1,99,-4985.32131546824,-7493.228619080435,,,,904.0,94.228
3491,1,100,-4984.32131546824,-7492.228619080435,,,,891.0,94.219
3492,1,101,-4983.32131546824,-7491.228619080435,,,,884.0,94.209
3493,1,102,-4982.32131546824,-7490.228619080435,,,,901.0,94.201
3494,1,103,-4981.32131546824,-7489.228619080435,,,,910.0,94.194
3495,1,104,-4980.32131546824,-7488.228619080435,,,,914.0,94.187
3496,1,105,-4979.32131546824,-7487.228619080435,,,,909.0,94.177
3497,1,106,-4978.32131546824,-7486.228619080435,,,,905.0,94.167
3498,1,107,-4977.32131546824,-7485.228619080435,,,,899.0,94.155
3499,1,108,-4976.32131546824,-7484.228619080435,,,,893.0,94.143
3500,1,109,-4975.32131546824,-7483.228619080435,,,,896.0,94.129
3501,1,110,-4974.32131546824,-7482.228619080435,,,,897.0,94.118
3502,1,111,-4973.32131546824,-7481.228619080435,,,,898.0,94.106
3503,1,112,-4972.32131546824,-7480.228619080435,,,,896.0,94.093
3504,1,113,-4971.32131546824,-7479.228619080435,,,,894.0,94.082
3505,1,114,-4970.32131546824,-7478.228619080435,,,,894.0,94.071
3506,1,115,-4969.32131546824,-7477.228619080435,,,,892.0,94.059
3507,1,116,-4968.32131546824,-7476.228619080435,,,,894.0,94.048
3508,1,117,-4967.32131546824,-7475.228619080435,,,,890.0,94.036
3509,1,118,-4966.32131546824,-7474.228619080435,,,,895.0,94.024
3510,1,119,-4965.32131546824,-7473.228619080435,,,,895.0,94.012
3511,1,120,-4964.32131546824,-7472.228619080435,,,,886.0,94.001
3512,1,121,-4963.32131546824,-7471.228619080435,,,,882.0,93.991
3513,1,122,-4962.32131546824,-7470.228619080435,,,,878.0,93.982
3514,1,123,-4961.32131546824,-7469.228619080435,,,,881.0,93.975
3515,1,124,-4960.32131546824,-7468.228619080435,,,,884.0,93.967
3516,1,125,-4959.32131546824,-7467.228619080435,,,,891.0,93.96
3517,1,126,-4958.32131546824,-7466.228619080435,,,,891.0,93.951
3518,1,127,-4957.32131546824,-7465.228619080435,,,,863.0,93.941
3519,1,128,-4956.32131546824,-7464.228619080435,,,,889.0,93.931
3520,1,129,-4955.32131546824,-7463.228619080435,,,,889.0,93.921
3521,1,130,-4954.32131546824,-7462.228619080435,,,,886.0,93.912
3522,1,131,-4953.32131546824,-7461.228619080435,,,,883.0,93.901
3523,1,132,-4952.32131546824,-7460.228619080435,,,,884.0,93.89
3524,1,133,-4951.32131546824,-7459.228619080435,,,,879.0,93.88
3525,1,134,-4950.32131546824,-7458.228619080435,,,,875.0,93.869
3526,1,135,-4949.32131546824,-7457.228619080435,,,,873.0,93.858
3527,1,136,-4948.32131546824,-7456.228619080435,,,,872.0,93.846
3528,1,137,-4947.32131546824,-7455.228619080435,,,,874.0,93.836
3529,1,138,-4946.32131546824,-7454.228619080435,,,,877.0,93.824
3530,1,139,-4945.32131546824,-7453.228619080435,,,,876.0,93.813
3531,1,140,-4944.32131546824,-7452.228619080435,,,,874.0,93.8
3532,1,141,-4943.32131546824,-7451.228619080435,,,,871.0,93.788
3533,1,142,-4942.32131546824,-7450.228619080435,,,,869.0,93.773
3534,1,143,-4941.32131546824,-7449.228619080435,,,,866.0,93.76
3535,1,144,-4940.32131546824,-7448.228619080435,,,,857.0,93.747
3536,1,145,-4939.32131546824,-7447.228619080435,,,,858.0,93.734
3537,1,146,-4938.32131546824,-7446.228619080435,,,,862.0,93.721
3538,1,147,-4937.32131546824,-7445.228619080435,,,,870.0,93.707
3539,1,148,-4936.32131546824,-7444.228619080435,,,,870.0,93.695
3540,1,149,-4935.32131546824,-7443.228619080435,,,,868.0,93.683
3541,1,150,-4934.32131546824,-7442.228619080435,,,,863.0,93.673
3542,1,151,-4933.32131546824,-7441.228619080435,,,,864.0,93.667
3543,1,152,-4932.32131546824,-7440.228619080435,,,,867.0,93.661
3556,1,165,-4919.32131546824,-7427.228619080435,,,,884.0,93.653
3557,1,166,-4918.32131546824,-7426.228619080435,,,,880.0,93.643
3558,1,167,-4917.32131546824,-7425.228619080435,,,,888.0,93.638
3572,1,181,-4903.32131546824,-7411.228619080435,,,,920.0,93.633
3573,1,182,-4902.32131546824,-7410.228619080435,,,,916.0,93.622
3574,1,183,-4901.32131546824,-7409.228619080435,,,,913.0,93.614
3575,1,184,-4900.32131546824,-7408.228619080435,,,,910.0,93.609
3588,1,197,-4887.32131546824,-7395.228619080435,,,,910.0,93.605
3589,1,198,-4886.32131546824,-7394.228619080435,,,,913.0,93.59
3590,1,199,-4885.32131546824,-7393.228619080435,,,,903.0,93.576
3591,1,200,-4884.32131546824,-7392.228619080435,,,,894.0,93.563
3592,1,201,-4883.32131546824,-7391.228619080435,,,,914.0,93.549
3593,1,202,-4882.32131546824,-7390.228619080435,,,,912.0,93.536
3594,1,203,-4881.32131546824,-7389.228619080435,,,,907.0,93.525
3595,1,204,-4880.32131546824,-7388.228619080435,,,,904.0,93.513
3596,1,205,-4879.32131546824,-7387.228619080435,,,,887.0,93.503
3597,1,206,-4878.32131546824,-7386.228619080435,,,,882.0,93.493
3598,1,207,-4877.32131546824,-7385.228619080435,,,,892.0,93.487
3599,1,208,-4876.32131546824,-7384.228619080435,,,,899.0,93.484
3600,1,209,-4875.32131546824,-7383.228619080435,,,,908.0,93.482
