fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
3368,1,1,-2312.32131546824,-4820.228619080435,,,,892.0,94.549
3372,1,5,-2308.32131546824,-4816.228619080435,,,,895.0,94.547
4122,1,755,-1558.32131546824,-4066.228619080435,,,,900.0,94.539
4123,1,756,-1557.32131546824,-4065.228619080435,,,,902.0,94.53
4124,1,757,-1556.32131546824,-4064.228619080435,,,,904.0,94.521
4125,1,758,-1555.32131546824,-4063.228619080435,,,,906.0,94.511
4126,1,759,-1554.32131546824,-4062.228619080435,,,,908.0,94.499
4127,1,760,-1553.32131546824,-4061.228619080435,,,,910.0,94.486
4128,1,761,-1552.32131546824,-4060.228619080435,,,,913.0,94.473
4129,1,762,-1551.32131546824,-4059.228619080435,,,,916.0,94.462
4130,1,763,-1550.32131546824,-4058.228619080435,,,,919.0,94.453
4131,1,764,-1549.32131546824,-4057.228619080435,,,,923.0,94.448
4186,1,819,-1494.32131546824,-4002.228619080435,,,,964.0,94.438
4187,1,820,-1493.32131546824,-4001.228619080435,,,,963.0,94.427
4188,1,821,-1492.32131546824,-4000.228619080435,,,,963.0,94.414
4189,1,822,-1491.32131546824,-3999.228619080435,,,,963.0,94.402
4190,1,823,-1490.32131546824,-3998.228619080435,,,,964.0,94.391
4191,1,824,-1489.32131546824,-3997.228619080435,,,,966.0,94.381
4192,1,825,-1488.32131546824,-3996.228619080435,,,,966.0,94.369
4193,1,826,-1487.32131546824,-3995.228619080435,,,,966.0,94.358
4194,1,827,-1486.32131546824,-3994.228619080435,,,,965.0,94.345
4195,1,828,-1485.32131546824,-3993.228619080435,,,,965.0,94.336
4196,1,829,-1484.32131546824,-3992.228619080435,,,,965.0,94.327
4197,1,830,-1483.32131546824,-3991.228619080435,,,,966.0,94.319
4198,1,831,-1482.32131546824,-3990.228619080435,,,,967.0,94.311
4199,1,832,-1481.32131546824,-3989.228619080435,,,,967.0,94.302
4200,1,833,-1480.32131546824,-3988.228619080435,,,,967.0,94.292
4201,1,834,-1479.32131546824,-3987.228619080435,,,,968.0,94.28
4202,1,835,-1478.32131546824,-3986.228619080435,,,,969.0,94.268
4203,1,836,-1477.32131546824,-3985.228619080435,,,,970.0,94.257
4204,1,837,-1476.32131546824,-3984.228619080435,,,,971.0,94.245
4205,1,838,-1475.32131546824,-3983.228619080435,,,,972.0,94.232
4206,1,839,-1474.32131546824,-3982.228619080435,,,,972.0,94.218
4207,1,840,-1473.32131546824,-3981.228619080435,,,,973.0,94.204
4208,1,841,-1472.32131546824,-3980.228619080435,,,,974.0,94.192
4209,1,842,-1471.32131546824,-3979.228619080435,,,,976.0,94.178
4210,1,843,-1470.32131546824,-3978.228619080435,,,,978.0,94.166
4211,1,844,-1469.32131546824,-3977.228619080435,,,,980.0,94.154
4212,1,845,-1468.32131546824,-3976.228619080435,,,,981.0,94.141
4213,1,846,-1467.32131546824,-3975.228619080435,,,,982.0,94.129
4214,1,847,-1466.32131546824,-3974.228619080435,,,,982.0,94.117
4215,1,848,-1465.32131546824,-3973.228619080435,,,,982.0,94.104
4216,1,849,-1464.32131546824,-3972.228619080435,,,,982.0,94.091
