fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
4725,1,1,-3100.32131546824,-5608.228619080435,,,,901.0,94.584
4731,1,7,-3094.32131546824,-5602.228619080435,,,,897.0,94.583
4732,1,8,-3093.32131546824,-5601.228619080435,,,,898.0,94.581
4733,1,9,-3092.32131546824,-5600.228619080435,,,,901.0,94.579
4734,1,10,-3091.32131546824,-5599.228619080435,,,,903.0,94.577
4735,1,11,-3090.32131546824,-5598.228619080435,,,,904.0,94.575
4736,1,12,-3089.32131546824,-5597.228619080435,,,,901.0,94.569
4737,1,13,-3088.32131546824,-5596.228619080435,,,,899.0,94.559
4738,1,14,-3087.32131546824,-5595.228619080435,,,,899.0,94.545
4739,1,15,-3086.32131546824,-5594.228619080435,,,,901.0,94.532
4740,1,16,-3085.32131546824,-5593.228619080435,,,,902.0,94.522
4741,1,17,-3084.32131546824,-5592.228619080435,,,,905.0,94.514
4742,1,18,-3083.32131546824,-5591.228619080435,,,,908.0,94.506
4743,1,19,-3082.32131546824,-5590.228619080435,,,,910.0,94.498
4744,1,20,-3081.32131546824,-5589.228619080435,,,,912.0,94.487
4745,1,21,-3080.32131546824,-5588.228619080435,,,,913.0,94.475
4746,1,22,-3079.32131546824,-5587.228619080435,,,,915.0,94.462
4747,1,23,-3078.32131546824,-5586.228619080435,,,,917.0,94.448
4748,1,24,-3077.32131546824,-5585.228619080435,,,,919.0,94.434
4749,1,25,-3076.32131546824,-5584.228619080435,,,,920.0,94.418
4750,1,26,-3075.32131546824,-5583.228619080435,,,,921.0,94.4
4751,1,27,-3074.32131546824,-5582.228619080435,,,,924.0,94.382
4752,1,28,-3073.32131546824,-5581.228619080435,,,,928.0,94.369
4753,1,29,-3072.32131546824,-5580.228619080435,,,,933.0,94.361
4754,1,30,-3071.32131546824,-5579.228619080435,,,,939.0,94.36
4763,1,39,-3062.32131546824,-5570.228619080435,,,,952.0,94.355
4764,1,40,-3061.32131546824,-5569.228619080435,,,,950.0,94.342
4765,1,41,-3060.32131546824,-5568.228619080435,,,,951.0,94.334
4766,1,42,-3059.32131546824,-5567.228619080435,,,,954.0,94.329
5012,1,288,-2813.32131546824,-5321.228619080435,,,,1176.0,94.321
5013,1,289,-2812.32131546824,-5320.228619080435,,,,1175.0,94.312
5014,1,290,-2811.32131546824,-5319.228619080435,,,,1174.0,94.305
5015,1,291,-2810.32131546824,-5318.228619080435,,,,1174.0,94.298
5016,1,292,-2809.32131546824,-5317.228619080435,,,,1172.0,94.288
5017,1,293,-2808.32131546824,-5316.228619080435,,,,1169.0,94.276
5018,1,294,-2807.32131546824,-5315.228619080435,,,,1164.0,94.264
5019,1,295,-2806.32131546824,-5314.228619080435,,,,1161.0,94.251
5020,1,296,-2805.32131546824,-5313.228619080435,,,,1160.0,94.239
5021,1,297,-2804.32131546824,-5312.228619080435,,,,1160.0,94.227
5022,1,298,-2803.32131546824,-5311.228619080435,,,,1162.0,94.216
5023,1,299,-2802.32131546824,-5310.228619080435,,,,1163.0,94.206
5024,1,300,-2801.32131546824,-5309.228619080435,,,,1163.0,94.195
5025,1,301,-2800.32131546824,-5308.228619080435,,,,1163.0,94.185
5026,1,302,-2799.32131546824,-5307.228619080435,,,,1162.0,94.173
5027,1,303,-2798.32131546824,-5306.228619080435,,,,1162.0,94.162
5028,1,304,-2797.32131546824,-5305.228619080435,,,,1160.0,94.151
5029,1,305,-2796.32131546824,-5304.228619080435,,,,1156.0,94.139
5030,1,306,-2795.32131546824,-5303.228619080435,,,,1153.0,94.129
5031,1,307,-2794.32131546824,-5302.228619080435,,,,1152.0,94.122
5032,1,308,-2793.32131546824,-5301.228619080435,,,,1154.0,94.115
5033,1,309,-2792.32131546824,-5300.228619080435,,,,1157.0,94.11
5034,1,310,-2791.32131546824,-5299.228619080435,,,,1158.0,94.106
5035,1,311,-2790.32131546824,-5298.228619080435,,,,1155.0,94.1
5036,1,312,-2789.32131546824,-5297.228619080435,,,,1149.0,94.093
5037,1,313,-2788.32131546824,-5296.228619080435,,,,1145.0,94.083
5038,1,314,-2787.32131546824,-5295.228619080435,,,,1141.0,94.074
5039,1,315,-2786.32131546824,-5294.228619080435,,,,1139.0,94.062
5040,1,316,-2785.32131546824,-5293.228619080435,,,,1138.0,94.05
5041,1,317,-2784.32131546824,-5292.228619080435,,,,1137.0,94.04
5042,1,318,-2783.32131546824,-5291.228619080435,,,,1137.0,94.029
5043,1,319,-2782.32131546824,-5290.228619080435,,,,1135.0,94.019
5044,1,320,-2781.32131546824,-5289.228619080435,,,,1134.0,94.007
5045,1,321,-2780.32131546824,-5288.228619080435,,,,1132.0,93.997
5046,1,322,-2779.32131546824,-5287.228619080435,,,,1130.0,93.985
5047,1,323,-2778.32131546824,-5286.228619080435,,,,1128.0,93.976
5048,1,324,-2777.32131546824,-5285.228619080435,,,,1127.0,93.966
5049,1,325,-2776.32131546824,-5284.228619080435,,,,1127.0,93.959
5050,1,326,-2775.32131546824,-5283.228619080435,,,,1127.0,93.951
5051,1,327,-2774.32131546824,-5282.228619080435,,,,1126.0,93.943
5052,1,328,-2773.32131546824,-5281.228619080435,,,,1126.0,93.936
